signatures (1 letter),length,counts
,0,3654535
.,1,6071
..,2,10
..T,3,1
.c,2,372
.c.,3,2
.cC,3,83
.cC.C,5,1
.cCc,4,6
.cCcC,5,6
.cCcL,5,1
.cCl,4,1
.cClC,5,1
.cL,3,13
.cLc,4,1
.cLl,4,1
.cT,3,24
.l,2,324
.l.,3,1
.lC,3,163
.lC.,4,1
.lC.L,5,1
.lCc.,5,1
.lCcL,5,1
.lCl,4,3
.lClC,5,8
.lCt.,5,1
.lL,3,17
.lT,3,21
.lT.,4,1
.lTtC,5,1
.t,2,150
.tC,3,25
.tL,3,2
.tLc,4,1
.tT,3,7
C,1,1676112
C.,2,510
C..,3,1
C.C,3,167
C.C.C,5,3
C.C.L,5,1
C.Cc,4,2
C.CcC,5,3
C.CcL,5,1
C.Cl,4,2
C.ClC,5,2
C.ClT,5,2
C.CtT,5,1
C.L,3,24
C.L.,4,1
C.Lc,4,1
C.Lt,4,1
C.T,3,11
C.T.,4,1
C.TcC,5,1
C.Tl,4,1
Cc,2,120356
Cc.,3,158
Cc..,4,3
Cc..C,5,2
Cc..L,5,1
Cc..T,5,1
Cc.c,4,22
Cc.cC,5,6
Cc.cL,5,2
Cc.cT,5,8
Cc.l,4,1
Cc.lC,5,2
Cc.lL,5,1
Cc.lT,5,1
Cc.t,4,4
CcC,3,33749
CcC.,4,473
CcC..,5,40
CcC.C,5,283
CcC.L,5,33
CcC.T,5,18
CcCc,4,1809
CcCc.,5,156
CcCcC,5,1480
CcCcL,5,167
CcCcT,5,45
CcCct,5,1
CcCl,4,392
CcCl.,5,50
CcClC,5,435
CcClL,5,99
CcClT,5,24
CcClt,5,2
CcCt,4,266
CcCt.,5,7
CcCtC,5,93
CcCtL,5,9
CcCtT,5,10
CcL,3,6055
CcL.,4,141
CcL.C,5,15
CcL.L,5,10
CcL.T,5,6
CcLc,4,671
CcLc.,5,19
CcLcC,5,80
CcLcL,5,73
CcLcT,5,55
CcLl,4,77
CcLl.,5,4
CcLlC,5,12
CcLlL,5,8
CcLlT,5,2
CcLt,4,58
CcLt.,5,2
CcLtC,5,20
CcLtL,5,5
CcLtT,5,3
CcT,3,3218
CcT.,4,50
CcT.C,5,7
CcTc,4,194
CcTc.,5,1
CcTcC,5,37
CcTcL,5,3
CcTcT,5,10
CcTl,4,5
CcTl.,5,1
CcTlC,5,7
CcTlL,5,2
CcTt,4,85
CcTt.,5,1
CcTtC,5,2
Cl,2,120647
Cl.,3,176
Cl..,4,1
Cl...,5,1
Cl..C,5,3
Cl.cC,5,3
Cl.l,4,2
Cl.lC,5,1
Cl.lT,5,1
Cl.t,4,2
Cl.tC,5,1
ClC,3,51134
ClC.,4,231
ClC..,5,30
ClC.C,5,206
ClC.L,5,29
ClC.T,5,26
ClCc,4,327
ClCc.,5,26
ClCcC,5,177
ClCcL,5,44
ClCcT,5,12
ClCl,4,481
ClCl.,5,87
ClClC,5,760
ClClL,5,166
ClClT,5,122
ClCt,4,338
ClCt.,5,28
ClCtC,5,319
ClCtL,5,17
ClCtT,5,36
ClL,3,7837
ClL.,4,66
ClL..,5,3
ClL.C,5,19
ClL.L,5,4
ClL.T,5,1
ClLc,4,56
ClLc.,5,3
ClLcC,5,14
ClLcL,5,5
ClLcT,5,9
ClLl,4,221
ClLl.,5,16
ClLlC,5,80
ClLlL,5,27
ClLlT,5,5
ClLt,4,91
ClLt.,5,5
ClLtC,5,29
ClLtL,5,3
ClLtT,5,1
ClT,3,5776
ClT.,4,21
ClT..,5,1
ClT.C,5,4
ClT.L,5,1
ClT.T,5,1
ClTc,4,33
ClTc.,5,1
ClTcC,5,5
ClTcT,5,1
ClTl,4,55
ClTl.,5,2
ClTlC,5,10
ClTlL,5,3
ClTlT,5,2
ClTt,4,36
ClTt.,5,4
ClTtC,5,18
ClTtT,5,7
Ct,2,45727
Ct.,3,38
Ct.c,4,1
Ct.l,4,1
CtC,3,9481
CtC.,4,24
CtC..,5,1
CtC.C,5,6
CtC.T,5,1
CtCc,4,59
CtCc.,5,4
CtCcC,5,24
CtCcL,5,4
CtCcT,5,1
CtCl,4,29
CtCl.,5,5
CtClC,5,22
CtClL,5,7
CtClT,5,7
CtCt,4,50
CtCt.,5,3
CtCtC,5,5
CtL,3,623
CtL.,4,4
CtL..,5,1
CtLc,4,8
CtLcL,5,2
CtLcT,5,1
CtLl,4,5
CtLl.,5,1
CtLlC,5,3
CtLlL,5,1
CtLt,4,3
CtT,3,1489
CtT.,4,2
CtTc,4,1
CtTcC,5,2
CtTcL,5,1
CtTl,4,1
CtTl.,5,1
CtTt,4,2
CtTtC,5,1
CtTtL,5,1
L,1,542429
L.,2,155
L.C,3,23
L.Cc,4,1
L.CcC,5,1
L.ClC,5,1
L.L,3,11
L.T,3,6
Lc,2,29785
Lc.,3,16
LcC,3,3472
LcC.,4,37
LcC..,5,3
LcC.C,5,28
LcC.L,5,5
LcC.T,5,3
LcCc,4,144
LcCc.,5,22
LcCcC,5,156
LcCcL,5,32
LcCcT,5,3
LcCl,4,58
LcCl.,5,6
LcClC,5,90
LcClL,5,5
LcClT,5,3
LcCt,4,10
LcCtC,5,5
LcL,3,3692
LcL.,4,92
LcL..,5,2
LcL.C,5,6
LcL.L,5,10
LcL.T,5,3
LcLc,4,395
LcLc.,5,15
LcLcC,5,18
LcLcL,5,52
LcLcT,5,18
LcLl,4,79
LcLl.,5,3
LcLlC,5,12
LcLlL,5,3
LcLlT,5,15
LcLt,4,10
LcLtC,5,3
LcT,3,355
LcT.,4,9
LcT.C,5,1
LcT.T,5,1
LcTc,4,40
LcTcC,5,2
LcTl,4,2
LcTlT,5,1
LcTt,4,4
Ll,2,34709
Ll.,3,45
Ll..C,5,1
Ll.l,4,2
Ll.t,4,3
Ll.t.,5,1
LlC,3,4151
LlC.,4,29
LlC..,5,2
LlC.C,5,40
LlC.L,5,2
LlC.T,5,2
LlCc,4,104
LlCc.,5,9
LlCcC,5,61
LlCcL,5,8
LlCcT,5,4
LlCl,4,51
LlCl.,5,14
LlClC,5,158
LlClL,5,14
LlClT,5,6
LlCt,4,28
LlCt.,5,2
LlCtC,5,13
LlCtL,5,1
LlCtT,5,1
LlL,3,5298
LlL.,4,77
LlL..,5,1
LlL.C,5,7
LlL.L,5,6
LlL.T,5,8
LlLc,4,59
LlLc.,5,4
LlLcC,5,9
LlLcL,5,1
LlLcT,5,19
LlLl,4,203
LlLl.,5,2
LlLlC,5,14
LlLlL,5,21
LlLlT,5,2
LlLt,4,173
LlLt.,5,7
LlLtC,5,4
LlLtL,5,17
LlLtT,5,1
LlT,3,2122
LlT.,4,3
LlT..,5,1
LlT.C,5,1
LlT.L,5,1
LlT.T,5,3
LlTc,4,4
LlTcC,5,3
LlTl,4,6
LlTlC,5,2
LlTlL,5,1
LlTt,4,4
LlTt.,5,4
LlTtC,5,5
LlTtT,5,41
Lt,2,23805
Lt.,3,7
LtC,3,700
LtC.,4,5
LtC.C,5,4
LtCc,4,9
LtCc.,5,2
LtCcC,5,7
LtCl,4,5
LtCl.,5,1
LtClC,5,3
LtClL,5,1
LtCt,4,4
LtCtC,5,1
LtL,3,323
LtL.,4,1
LtLc,4,3
LtLcC,5,2
LtLl.,5,1
LtLlC,5,1
LtT,3,654
LtT.,4,1
LtT.C,5,1
LtTc,4,3
LtTlC,5,1
LtTt,4,1
T,1,144689
T.,2,24
T.C,3,3
T.Cl,4,1
T.L,3,2
Tc,2,7612
Tc.,3,2
TcC,3,410
TcC.,4,3
TcC.C,5,4
TcCc,4,12
TcCc.,5,2
TcCcC,5,24
TcCcL,5,3
TcCl,4,3
TcClC,5,3
TcClL,5,2
TcCt,4,2
TcL,3,598
TcL.,4,12
TcL.C,5,1
TcL.L,5,1
TcLc,4,5
TcLc.,5,1
TcLcC,5,1
TcLcL,5,1
TcLl,4,44
TcLl.,5,1
TcLlC,5,1
TcLt,4,3
TcLtC,5,2
TcT,3,81
TcTc,4,4
TcTt,4,2
Tl,2,3375
Tl.,3,2
Tl..,4,1
Tl.cC,5,2
TlC,3,570
TlC.,4,4
TlC..,5,1
TlC.C,5,2
TlC.L,5,1
TlCc,4,7
TlCc.,5,4
TlCcC,5,24
TlCcL,5,1
TlCl,4,33
TlClC,5,7
TlClL,5,4
TlCt,4,5
TlCtC,5,1
TlL,3,333
TlL.,4,2
TlL.C,5,1
TlL.L,5,2
TlLc,4,1
TlLc.,5,1
TlLl,4,3
TlLlC,5,1
TlLlL,5,1
TlLlT,5,1
TlLt,4,4
TlLtL,5,1
TlT,3,444
TlTc,4,1
TlTc.,5,2
TlTtT,5,2
Tt,2,5233
