signatures (1 letter),length,counts
,0,875938
.,1,203662
..,2,1
.c,2,6
.l,2,8
.lC,3,2
.t,2,4
C,1,8370
C.,2,8
C.C,3,3
C.CcC,5,1
Cc,2,453
CcC,3,94
CcCc,4,9
CcCcC,5,9
CcCl,4,1
CcClC,5,1
CcL,3,33
CcL.,4,1
CcLc,4,2
CcLcC,5,1
CcLcL,5,1
CcT,3,5
Cl,2,510
ClC,3,98
ClC.,4,1
ClCcC,5,1
ClCl,4,4
ClCl.,5,1
ClClC,5,2
ClCt,4,4
ClCtC,5,1
ClL,3,30
ClL.L,5,1
ClLl,4,1
ClLlL,5,1
ClLt.,5,1
ClT,3,9
ClTl,4,1
Ct,2,209
CtC,3,41
CtL,3,11
CtLlL,5,1
CtLt,4,2
CtT,3,7
L,1,3057
L.,2,1
Lc,2,134
LcC,3,10
LcCc,4,1
LcCcC,5,1
LcL,3,13
LcLc,4,1
LcT,3,4
LcTcT,5,1
Ll,2,135
LlC,3,6
LlC.,4,1
LlC..,5,1
LlClC,5,1
LlCt,4,1
LlL,3,35
LlLl,4,5
LlT,3,2
Lt,2,74
LtC,3,4
LtL,3,5
LtLt,4,1
LtT,3,1
T,1,1391
T.,2,2
Tc,2,54
TcC,3,2
TcL,3,3
TcT,3,5
Tl,2,30
TlC,3,3
TlL,3,3
TlL.C,5,1
Tt,2,38
TtL,3,3
TtLt,4,1
TtT,3,6
TtTt,4,1
