signatures (1 letter),length,counts
,0,4293059
.,1,8714
..,2,57
..C,3,1
..L,3,1
..T,3,3
.c,2,353
.cC,3,50
.cC.C,5,1
.cCc,4,3
.cCcC,5,3
.cCl,4,1
.cCt,4,5
.cCtC,5,1
.cL,3,17
.cLc,4,2
.cLlL,5,2
.cLtC,5,1
.cT,3,21
.cTcT,5,1
.l,2,577
.l.,3,4
.lC,3,174
.lC.,4,3
.lC.C,5,3
.lC.L,5,1
.lCcC,5,1
.lCl.,5,1
.lClC,5,7
.lL,3,51
.lL.,4,2
.lL.L,5,1
.lLc,4,2
.lLl,4,2
.lLlL,5,1
.lLlT,5,1
.lLt,4,1
.lLtL,5,1
.lT,3,54
.lT.,4,1
.lTl,4,1
.lTlC,5,1
.lTt,4,1
.t,2,435
.t.,3,2
.tC,3,46
.tCc,4,2
.tCtC,5,2
.tL,3,11
.tT,3,32
C,1,1426457
C.,2,681
C..,3,1
C.C,3,133
C.C.,4,1
C.Cc,4,1
C.CcC,5,1
C.ClC,5,3
C.ClT,5,1
C.Ct,4,2
C.L,3,55
C.Lc,4,2
C.Ll,4,1
C.LlL,5,1
C.Lt.,5,1
C.LtL,5,1
C.LtT,5,1
C.T,3,40
C.TcT,5,1
C.Tt,4,1
Cc,2,82697
Cc.,3,97
Cc..,4,4
Cc...,5,1
Cc..C,5,5
Cc..T,5,2
Cc.c,4,4
Cc.c.,5,4
Cc.cC,5,10
Cc.cL,5,2
Cc.cT,5,3
Cc.l,4,3
Cc.l.,5,1
Cc.lC,5,2
Cc.lT,5,1
Cc.t,4,4
Cc.tC,5,3
Cc.tT,5,1
CcC,3,17236
CcC.,4,259
CcC..,5,18
CcC.C,5,175
CcC.L,5,9
CcC.T,5,10
CcCc,4,851
CcCc.,5,89
CcCcC,5,837
CcCcL,5,60
CcCcT,5,43
CcCl,4,190
CcCl.,5,28
CcClC,5,220
CcClL,5,43
CcClT,5,16
CcCt,4,315
CcCt.,5,15
CcCtC,5,105
CcCtL,5,8
CcCtT,5,12
CcL,3,4912
CcL.,4,120
CcL..,5,8
CcL.C,5,30
CcL.L,5,26
CcL.T,5,24
CcLc,4,426
CcLc.,5,18
CcLcC,5,61
CcLcL,5,95
CcLcT,5,37
CcLl,4,35
CcLl.,5,6
CcLlC,5,14
CcLlL,5,53
CcLlT,5,62
CcLt,4,144
CcLt.,5,16
CcLtC,5,67
CcLtL,5,8
CcLtT,5,4
CcT,3,4886
CcT.,4,43
CcT..,5,3
CcT.C,5,11
CcT.L,5,3
CcT.T,5,22
CcTc,4,160
CcTc.,5,7
CcTcC,5,30
CcTcL,5,5
CcTcT,5,223
CcTl,4,62
CcTl.,5,3
CcTlC,5,2
CcTlL,5,2
CcTlT,5,6
CcTt,4,44
CcTtC,5,6
CcTtL,5,3
CcTtT,5,3
Cl,2,114015
Cl.,3,225
Cl..,4,2
Cl...,5,1
Cl..C,5,1
Cl.c,4,3
Cl.cC,5,1
Cl.l,4,9
Cl.l.,5,1
Cl.lC,5,7
Cl.lL,5,1
Cl.t,4,4
ClC,3,46216
ClC.,4,208
ClC..,5,30
ClC.C,5,265
ClC.L,5,20
ClC.T,5,27
ClCc,4,499
ClCc.,5,19
ClCcC,5,203
ClCcL,5,23
ClCcT,5,22
ClCl,4,405
ClCl.,5,108
ClClC,5,1122
ClClL,5,81
ClClT,5,98
ClCt,4,380
ClCt.,5,35
ClCtC,5,239
ClCtL,5,21
ClCtT,5,17
ClL,3,16994
ClL.,4,215
ClL..,5,9
ClL.C,5,41
ClL.L,5,62
ClL.T,5,30
ClLc,4,115
ClLc.,5,12
ClLcC,5,117
ClLcL,5,13
ClLcT,5,17
ClLl,4,568
ClLl.,5,33
ClLlC,5,108
ClLlL,5,245
ClLlT,5,38
ClLt,4,655
ClLt.,5,12
ClLtC,5,22
ClLtL,5,64
ClLtT,5,110
ClT,3,13265
ClT.,4,86
ClT..,5,1
ClT.C,5,10
ClT.L,5,2
ClT.T,5,11
ClTc,4,133
ClTcC,5,29
ClTcL,5,6
ClTcT,5,13
ClTl,4,238
ClTl.,5,8
ClTlC,5,21
ClTlL,5,9
ClTlT,5,37
ClTt,4,172
ClTt.,5,5
ClTtC,5,9
ClTtL,5,2
ClTtT,5,37
Ct,2,76904
Ct.,3,97
Ct..,4,3
Ct..C,5,1
Ct..L,5,1
Ct.l,4,2
Ct.t,4,3
Ct.tC,5,1
Ct.tT,5,1
CtC,3,17351
CtC.,4,80
CtC..,5,2
CtC.C,5,22
CtC.L,5,3
CtC.T,5,3
CtCc,4,129
CtCc.,5,3
CtCcC,5,34
CtCcL,5,8
CtCcT,5,17
CtCl,4,61
CtCl.,5,5
CtClC,5,43
CtClL,5,9
CtClT,5,5
CtCt,4,256
CtCt.,5,13
CtCtC,5,128
CtCtL,5,11
CtCtT,5,4
CtL,3,2279
CtL.,4,29
CtL.C,5,2
CtL.L,5,2
CtL.T,5,3
CtLc,4,23
CtLcC,5,4
CtLcL,5,2
CtLcT,5,3
CtLl,4,22
CtLl.,5,3
CtLlC,5,5
CtLlL,5,4
CtLlT,5,6
CtLt,4,145
CtLtC,5,3
CtLtL,5,1
CtLtT,5,3
CtT,3,3347
CtT.,4,48
CtT..,5,1
CtT.C,5,4
CtT.L,5,1
CtT.T,5,3
CtTc,4,22
CtTcC,5,2
CtTcL,5,1
CtTcT,5,6
CtTl,4,21
CtTlC,5,4
CtTlL,5,1
CtTlT,5,3
CtTt,4,319
CtTt.,5,6
CtTtC,5,58
CtTtL,5,5
CtTtT,5,6
L,1,828227
L.,2,410
L..,3,3
L.C,3,42
L.C.C,5,1
L.Cl,4,1
L.ClC,5,1
L.L,3,50
L.LlL,5,1
L.Lt,4,4
L.T,3,23
L.Tt,4,1
L.TtC,5,1
Lc,2,41048
Lc.,3,34
Lc..,4,1
Lc.c,4,5
Lc.cC,5,2
Lc.cL,5,1
Lc.tC,5,1
LcC,3,3834
LcC.,4,30
LcC..,5,4
LcC.C,5,19
LcC.L,5,8
LcCc,4,109
LcCc.,5,14
LcCcC,5,57
LcCcL,5,35
LcCcT,5,3
LcCl,4,23
LcCl.,5,1
LcClC,5,26
LcClL,5,3
LcClT,5,2
LcCt,4,33
LcCt.,5,8
LcCtC,5,61
LcCtL,5,3
LcCtT,5,3
LcL,3,3760
LcL.,4,53
LcL..,5,2
LcL.C,5,17
LcL.L,5,8
LcL.T,5,2
LcLc,4,311
LcLc.,5,11
LcLcC,5,16
LcLcL,5,86
LcLcT,5,9
LcLl,4,15
LcLl.,5,1
LcLlC,5,43
LcLlL,5,12
LcLlT,5,4
LcLt,4,39
LcLt.,5,7
