signatures (1 letter),length,counts
,0,3682993
.,1,4548
..,2,119
.c,2,212
.c.,3,1
.cC,3,42
.cC.C,5,1
.cCc,4,3
.cCcC,5,2
.cCl,4,2
.cL,3,21
.cL.,4,1
.l,2,460
.l.,3,2
.lC,3,55
.lC.C,5,2
.lCl,4,2
.lClC,5,1
.lL,3,16
.lT,3,1
.t,2,1
.tL,3,1
C,1,1114656
C.,2,502
C.C,3,37
C.C.,4,1
C.C.C,5,2
C.Cc,4,1
C.L,3,29
C.L.,4,1
C.Lc,4,1
C.LcC,5,1
C.Ll.,5,1
C.T,3,2
CC,2,1
Cc,2,62683
Cc.,3,47
Cc..C,5,1
Cc.c,4,5
Cc.c.,5,1
Cc.cC,5,5
Cc.cT,5,1
Cc.l,4,2
CcC,3,14061
CcC.,4,216
CcC..,5,9
CcC.C,5,130
CcC.L,5,27
CcC.T,5,3
CcCc,4,728
CcCc.,5,63
CcCcC,5,665
CcCcL,5,138
CcCcT,5,17
CcCl,4,411
CcCl.,5,8
CcClC,5,77
CcClL,5,30
CcCt,4,3
CcL,3,6678
CcL.,4,94
CcL..,5,1
CcL.C,5,6
CcL.L,5,21
CcLc,4,435
CcLc.,5,4
CcLcC,5,29
CcLcL,5,96
CcLcT,5,1
CcLl,4,149
CcLl.,5,1
CcLlC,5,6
CcLlL,5,34
CcLt,4,1
CcT,3,73
CcT.,4,1
CcT..,5,1
CcTc,4,3
CcTcL,5,1
CcTl,4,6
CcTlC,5,1
Cl,2,113806
Cl.,3,68
Cl.l,4,3
Cl.l.,5,1
Cl.lC,5,1
Cl.t,4,1
ClC,3,14331
ClC.,4,145
ClC..,5,7
ClC.C,5,44
ClC.L,5,12
ClCc,4,83
ClCc.,5,3
ClCcC,5,43
ClCcL,5,14
ClCcT,5,1
ClCl,4,515
ClCl.,5,14
ClClC,5,235
ClClL,5,58
ClClT,5,2
ClCtC,5,1
ClL,3,4256
ClL.,4,35
ClL..,5,3
ClL.L,5,6
ClLc,4,24
ClLc.,5,3
ClLcC,5,4
ClLcL,5,4
ClLl,4,165
ClLl.,5,3
ClLlC,5,8
ClLlL,5,30
ClLtT,5,1
ClT,3,61
ClT.,4,4
ClTc,4,1
ClTcC,5,1
ClTl,4,9
ClTlC,5,1
ClTlT,5,2
ClTt,4,1
Ct,2,424
CtC,3,57
CtClC,5,1
CtL,3,134
CtL.,4,1
CtLcL,5,1
CtLl,4,1
CtT,3,8
CtTt,4,1
L,1,651115
L.,2,196
L..,3,1
L.C,3,11
L.Cl,4,1
L.L,3,21
L.Ll,4,1
L.T,3,1
Lc,2,23906
Lc.,3,12
Lc.l,4,1
LcC,3,1903
LcC.,4,32
LcC..,5,2
LcC.C,5,10
LcC.L,5,4
LcC.T,5,1
LcCc,4,98
LcCc.,5,7
LcCcC,5,54
LcCcL,5,15
LcCcT,5,1
LcCl,4,85
LcCl.,5,1
LcClC,5,14
LcClL,5,4
LcL,3,4203
LcL.,4,72
LcL..,5,3
LcL.C,5,2
LcL.L,5,12
LcLc,4,236
LcLc.,5,4
LcLcC,5,11
LcLcL,5,62
LcLcT,5,1
LcLl,4,107
LcLl.,5,9
LcLlC,5,3
LcLlL,5,15
LcT,3,71
LcTc,4,3
LcTl,4,1
LcTt,4,1
Ll,2,39739
Ll.,3,5
Ll..,4,1
Ll.l,4,1
LlC,3,1324
LlC.,4,13
LlC.C,5,6
LlC.L,5,3
LlCc,4,16
LlCc.,5,1
LlCcC,5,7
LlCcL,5,3
LlCl,4,66
LlClC,5,21
LlClL,5,1
LlCtL,5,1
LlL,3,5816
LlL.,4,58
LlL..,5,2
LlL.C,5,1
LlL.L,5,19
LlL.T,5,1
LlLc,4,15
LlLcC,5,3
LlLcL,5,2
LlLl,4,278
LlLl.,5,9
LlLlC,5,8
LlLlL,5,85
LlLlT,5,2
LlLt,4,3
LlT,3,38
LlTc,4,1
LlTl,4,3
Lt,2,173
LtC,3,13
LtL,3,25
LtT,3,7
T,1,48175
T.,2,13
T.C,3,1
T.L,3,3
Tc,2,3481
TcC,3,358
TcC.,4,1
TcC..,5,1
TcC.C,5,1
TcCc,4,7
TcCc.,5,1
TcCcC,5,11
TcCcL,5,1
TcCl,4,6
TcCl.,5,1
TcClC,5,2
TcL,3,335
TcL.C,5,1
TcL.L,5,3
TcLc,4,4
TcLc.,5,1
TcLcC,5,2
TcLcL,5,1
TcLl,4,6
TcLlC,5,1
TcLlL,5,5
TcT,3,57
Tl,2,4945
Tl.,3,1
TlC,3,191
TlC.,4,4
TlC.C,5,1
TlCl,4,16
TlClC,5,11
TlL,3,264
TlL.,4,1
TlLc,4,3
TlLl,4,8
TlLl.,5,1
TlLlC,5,4
TlLlL,5,1
TlT,3,34
TlT.,4,2
TlTcC,5,1
TlTl,4,9
Tt,2,51
TtC,3,1
TtCcC,5,1
TtL,3,2
TtT,3,8
TtTt,4,1
t,1,5
