signatures (1 letter),length,counts
,0,3370805
.,1,5996
..,2,7
..L,3,1
.c,2,286
.c.,3,4
.cC,3,71
.cC.C,5,1
.cCc,4,6
.cCcC,5,3
.cCcL,5,2
.cCl,4,2
.cClC,5,2
.cClL,5,3
.cCt,4,1
.cL,3,44
.cL.,4,1
.cLc,4,1
.cLc.,5,1
.cLl,4,2
.cLlC,5,1
.l,2,550
.l.,3,8
.lC,3,165
.lC.,4,2
.lC.C,5,1
.lC.L,5,1
.lCcC,5,1
.lCl,4,9
.lClC,5,4
.lClL,5,1
.lL,3,57
.lL.,4,1
.lLc,4,2
.lLl,4,5
.lLlC,5,1
.lLlL,5,4
.t,2,9
.tC,3,1
.tCc,4,1
.tT,3,1
C,1,1441201
C.,2,605
C..,3,1
C.C,3,123
C.C.,4,2
C.C.C,5,1
C.Cc,4,1
C.CcC,5,1
C.Cl,4,2
C.ClC,5,3
C.L,3,47
C.L.,4,2
C.Lc,4,1
C.Ll,4,2
Cc,2,97556
Cc.,3,101
Cc..,4,4
Cc..C,5,2
Cc.c,4,6
Cc.c.,5,1
Cc.cC,5,1
Cc.cL,5,4
Cc.l,4,2
Cc.lC,5,3
Cc.lL,5,1
CcC,3,27383
CcC.,4,375
CcC..,5,39
CcC.C,5,271
CcC.L,5,59
CcC.T,5,1
CcCc,4,1168
CcCc.,5,156
CcCcC,5,1025
CcCcL,5,347
CcCcT,5,6
CcCl,4,631
CcCl.,5,58
CcClC,5,520
CcClL,5,125
CcClT,5,6
CcCt,4,5
CcCtT,5,2
CcL,3,14448
CcL.,4,202
CcL..,5,7
CcL.C,5,28
CcL.L,5,53
CcLc,4,902
CcLc.,5,26
CcLcC,5,76
CcLcL,5,154
CcLl,4,341
CcLl.,5,22
CcLlC,5,60
CcLlL,5,122
CcLt,4,83
CcLtC,5,1
CcLtL,5,1
CcT,3,54
CcT.,4,1
CcTc,4,4
CcTc.,5,1
CcTcC,5,1
CcTl,4,2
CcTl.,5,1
CcTt,4,2
Cl,2,177578
Cl.,3,132
Cl..,4,2
Cl..C,5,4
Cl..L,5,1
Cl.c,4,1
Cl.cL,5,1
Cl.l,4,30
Cl.lC,5,4
Cl.lL,5,1
ClC,3,40192
ClC.,4,741
ClC..,5,36
ClC.C,5,317
ClC.L,5,60
ClC.T,5,1
ClCc,4,342
ClCc.,5,28
ClCcC,5,193
ClCcL,5,54
ClCcT,5,3
ClCl,4,3118
ClCl.,5,178
ClClC,5,1480
ClClL,5,351
ClClT,5,8
ClCt,4,4
ClCtC,5,3
ClL,3,18505
ClL.,4,267
ClL..,5,19
ClL.C,5,47
ClL.L,5,105
ClLc,4,158
ClLc.,5,9
ClLcC,5,30
ClLcL,5,25
ClLl,4,1330
ClLl.,5,56
ClLlC,5,206
ClLlL,5,559
ClLlT,5,2
ClLt,4,2
ClT,3,99
ClT.L,5,1
ClTcT,5,1
ClTl,4,3
ClTt,4,1
Ct,2,462
CtC,3,100
CtC.,4,1
CtC..,5,2
CtC.C,5,8
CtCc,4,3
CtCc.,5,6
CtCcC,5,32
CtCcL,5,1
CtCcT,5,1
CtCl,4,5
CtClC,5,2
CtCt.,5,1
CtL,3,15
CtLl,4,1
CtLt,4,1
CtT,3,12
L,1,575065
L.,2,188
L.C,3,23
L.Cc,4,1
L.CcC,5,1
L.L,3,19
L.L.C,5,1
L.L.L,5,1
L.Lc,4,1
L.Ll,4,1
L.LlL,5,1
Lc,2,29063
Lc.,3,20
Lc..,4,1
Lc..C,5,1
Lc.c,4,2
Lc.l,4,2
LcC,3,2909
LcC.,4,50
LcC..,5,8
LcC.C,5,48
LcC.L,5,18
LcCc,4,207
LcCc.,5,18
LcCcC,5,203
LcCcL,5,18
LcCcT,5,1
LcCl,4,69
LcCl.,5,13
LcClC,5,70
LcClL,5,68
LcCt,4,2
LcCt.,5,1
LcL,3,4215
LcL.,4,47
LcL.C,5,6
LcL.L,5,28
LcLc,4,123
LcLc.,5,9
LcLcC,5,15
LcLcL,5,98
LcLl,4,123
LcLl.,5,3
LcLlC,5,13
LcLlL,5,18
LcLt,4,2
LcT,3,7
LcTc,4,1
Ll,2,50193
Ll.,3,32
Ll.l,4,5
Ll.l.,5,1
Ll.lL,5,1
LlC,3,4045
LlC.,4,68
LlC..,5,4
LlC.C,5,23
LlC.L,5,4
LlCc,4,36
LlCc.,5,2
LlCcC,5,33
LlCcL,5,9
LlCl,4,265
LlCl.,5,15
LlClC,5,108
LlClL,5,21
LlClT,5,1
LlL,3,15191
LlL.,4,266
LlL..,5,8
LlL.C,5,16
LlL.L,5,105
LlLc,4,63
LlLc.,5,2
LlLcC,5,16
LlLcL,5,11
LlLl,4,1110
LlLl.,5,43
LlLlC,5,69
LlLlL,5,422
LlLt,4,1
LlT,3,21
LlT.C,5,1
LlTl,4,1
LlTt,4,1
Lt,2,206
LtC,3,8
LtCc,4,2
LtCc.,5,1
LtCcC,5,1
LtCl,4,1
LtL,3,9
LtT,3,1
T,1,20803
T.,2,10
T.C,3,2
Tc,2,3656
TcC,3,80
TcC.,4,2
TcC.C,5,2
TcCc,4,3
TcCcC,5,9
TcCcL,5,1
TcCl,4,3
TcClC,5,6
TcL,3,56
TcL.L,5,1
TcLc,4,8
TcLc.,5,5
TcLcC,5,2
TcLcL,5,24
TcLl,4,2
TcLl.,5,1
TcLlL,5,2
TcT,3,1
Tl,2,872
Tl.,3,2
TlC,3,91
TlC.C,5,1
TlCc,4,1
TlCcC,5,1
TlCl,4,7
TlClC,5,2
TlClL,5,3
TlL,3,249
TlL.,4,1
TlL.L,5,8
TlLc,4,2
TlLl,4,6
TlLl.,5,3
TlLlC,5,2
TlLlL,5,25
TlT,3,11
Tt,2,1742
TtC,3,20
TtCc,4,1
TtCl,4,1
TtL,3,9
TtLl,4,1
TtLlC,5,1
TtLtC,5,1
TtT,3,6
