signatures (1 letter),length,counts
,0,4577453
.,1,8729
..,2,76
...,3,1
..C,3,12
..L,3,3
..T,3,1
.c,2,642
.c.,3,1
.cC,3,78
.cC.,4,1
.cC.C,5,1
.cC.L,5,1
.cCcC,5,1
.cCl,4,2
.cClC,5,1
.cCtC,5,1
.cL,3,63
.cL.,4,2
.cLc,4,4
.cLc.,5,1
.cLl,4,1
.cLlC,5,1
.cLlL,5,2
.cT,3,9
.cTcL,5,1
.l,2,1140
.l.,3,1
.lC,3,77
.lC.,4,2
.lCc,4,1
.lCl,4,6
.lClC,5,1
.lCt,4,1
.lCtT,5,1
.lL,3,34
.lL.,4,1
.lLl,4,3
.lLt,4,1
.lT,3,5
.t,2,268
.t.,3,1
.t.lC,5,1
.tC,3,69
.tCtC,5,1
.tL,3,49
.tL.,4,1
.tLc,4,1
.tLl,4,3
.tT,3,21
C,1,1588193
C.,2,1260
C.C,3,387
C.C.,4,1
C.Cc,4,5
C.CcC,5,2
C.Cl,4,6
C.ClC,5,1
C.ClL,5,1
C.L,3,64
C.L.,4,1
C.LcL,5,1
C.Ll.,5,1
C.Lt,4,1
C.T,3,14
C.Tl,4,1
Cc,2,109224
Cc.,3,82
Cc..,4,1
Cc..T,5,1
Cc.c,4,5
Cc.c.,5,1
Cc.cC,5,3
Cc.cL,5,4
Cc.cT,5,1
Cc.l,4,5
Cc.lC,5,1
Cc.tC,5,1
CcC,3,22135
CcC.,4,433
CcC..,5,22
CcC.C,5,189
CcC.L,5,31
CcC.T,5,5
CcCc,4,1154
CcCc.,5,97
CcCcC,5,902
CcCcL,5,232
CcCcT,5,45
CcCl,4,905
CcCl.,5,29
CcClC,5,276
CcClL,5,89
CcClT,5,12
CcCt,4,53
CcCt.,5,7
CcCtC,5,96
CcCtL,5,19
CcCtT,5,6
CcL,3,10856
CcL.,4,141
CcL..,5,2
CcL.C,5,10
CcL.L,5,45
CcL.T,5,2
CcLc,4,390
CcLc.,5,13
CcLcC,5,32
CcLcL,5,146
CcLcT,5,5
CcLl,4,403
CcLl.,5,5
CcLlC,5,7
CcLlL,5,53
CcLlT,5,1
CcLt,4,13
CcLt.,5,2
CcLtC,5,2
CcLtL,5,16
CcLtT,5,1
CcT,3,1823
CcT.,4,50
CcT..,5,2
CcT.C,5,10
CcT.L,5,17
CcT.T,5,10
CcTc,4,154
CcTc.,5,26
CcTcC,5,116
CcTcL,5,97
CcTcT,5,52
CcTl,4,97
CcTl.,5,1
CcTlC,5,5
CcTlL,5,5
CcTlT,5,1
CcTt,4,5
CcTtC,5,2
CcTtL,5,3
CcTtT,5,3
Cl,2,154721
Cl.,3,110
Cl..,4,1
Cl..L,5,1
Cl.c,4,1
Cl.cC,5,1
Cl.l,4,15
Cl.l.,5,1
Cl.lC,5,1
ClC,3,20904
ClC.,4,240
ClC..,5,5
ClC.C,5,86
ClC.L,5,11
ClC.T,5,3
ClCc,4,112
ClCc.,5,14
ClCcC,5,52
ClCcL,5,25
ClCcT,5,2
ClCl,4,934
ClCl.,5,39
ClClC,5,380
ClClL,5,56
ClClT,5,10
ClCt,4,28
ClCt.,5,1
ClCtC,5,18
ClCtL,5,7
ClCtT,5,1
ClL,3,8066
ClL.,4,95
ClL..,5,12
ClL.C,5,4
ClL.L,5,21
ClLc,4,27
ClLc.,5,2
ClLcC,5,10
ClLcL,5,14
ClLcT,5,2
ClLl,4,448
ClLl.,5,60
ClLlC,5,24
ClLlL,5,104
ClLlT,5,1
ClLt,4,15
ClLt.,5,2
ClLtC,5,2
ClLtL,5,6
ClT,3,710
ClT.,4,59
ClT..,5,1
ClT.L,5,2
ClTc,4,67
ClTcC,5,3
ClTcL,5,3
ClTl,4,195
ClTlC,5,5
ClTlL,5,4
ClTt,4,6
ClTt.,5,1
ClTtL,5,2
Ct,2,50879
Ct.,3,78
Ct.c,4,1
Ct.cC,5,1
Ct.l,4,2
CtC,3,13271
CtC.,4,57
CtC..,5,13
CtC.C,5,52
CtC.L,5,9
CtC.T,5,1
CtCc,4,126
CtCc.,5,5
CtCcC,5,27
CtCcL,5,11
CtCcT,5,3
CtCl,4,173
CtCl.,5,20
CtClC,5,156
CtClL,5,16
CtClT,5,4
CtCt,4,20
CtCt.,5,28
CtCtC,5,210
CtCtL,5,14
CtCtT,5,1
CtL,3,11132
CtL.,4,71
CtL.C,5,2
CtL.L,5,13
CtLc,4,88
CtLc.,5,2
CtLcC,5,6
CtLcL,5,15
CtLcT,5,1
CtLl,4,218
CtLl.,5,2
CtLlC,5,7
CtLlL,5,61
CtLt,4,12
CtLtC,5,1
CtLtL,5,2
CtLtT,5,1
CtT,3,3551
CtT.,4,34
CtT.L,5,2
CtT.T,5,1
CtTc,4,10
CtTc.,5,2
CtTcC,5,14
CtTcL,5,7
CtTcT,5,1
CtTl,4,160
CtTlC,5,6
CtTlL,5,3
CtTlT,5,1
CtTt,4,3
CtTtL,5,3
L,1,865011
L.,2,397
L..,3,1
L.C,3,28
L.Cc,4,1
L.CcC,5,1
L.ClC,5,1
L.L,3,48
L.Lc,4,2
L.Ll.,5,1
L.T,3,6
L.Tl,4,1
Lc,2,42025
Lc.,3,26
Lc..,4,1
Lc..L,5,1
Lc.c,4,1
Lc.cC,5,1
Lc.l,4,1
Lc.t,4,1
LcC,3,3549
LcC.,4,30
LcC..,5,3
LcC.C,5,21
LcC.L,5,3
LcC.T,5,1
LcCc,4,71
LcCc.,5,7
LcCcC,5,86
LcCcL,5,17
LcCcT,5,4
LcCl,4,62
LcCl.,5,4
LcClC,5,15
LcClL,5,11
LcClT,5,1
