signatures (1 letter),length,counts
,0,3989065
.,1,8205
..,2,17
..C,3,2
..T,3,1
.c,2,423
.c.,3,3
.cC,3,61
.cCc,4,4
.cCc.,5,2
.cCcC,5,5
.cCl,4,1
.cClT,5,1
.cCt,4,1
.cL,3,10
.cLc,4,1
.cLc.,5,1
.cT,3,12
.cTc,4,2
.cTt,4,1
.l,2,147
.lC,3,10
.lT,3,7
.t,2,237
.t.,3,2
.tC,3,29
.tL,3,18
.tT,3,8
.tTl,4,1
C,1,1334687
C.,2,377
C.C,3,100
C.C.C,5,1
C.Cc,4,1
C.CcC,5,2
C.L,3,10
C.Lc,4,1
C.T,3,5
C.Tc,4,2
Cc,2,82259
Cc.,3,75
Cc..C,5,1
Cc.c,4,7
Cc.cC,5,6
Cc.cL,5,2
Cc.cT,5,2
Cc.t,4,2
CcC,3,18580
CcC.,4,152
CcC..,5,27
CcC.C,5,246
CcC.L,5,9
CcC.T,5,9
CcCc,4,723
CcCc.,5,181
CcCcC,5,1465
CcCcL,5,87
CcCcT,5,78
CcCl,4,76
CcCl.,5,11
CcClC,5,124
CcClL,5,3
CcClT,5,4
CcCt,4,117
CcCt.,5,6
CcCtC,5,21
CcCtL,5,15
CcCtT,5,6
CcL,3,2961
CcL.,4,93
CcL..,5,3
CcL.C,5,1
CcL.L,5,24
CcL.T,5,2
CcLc,4,474
CcLc.,5,10
CcLcC,5,22
CcLcL,5,95
CcLcT,5,3
CcLl,4,7
CcLlC,5,1
CcLlL,5,1
CcLlT,5,2
CcLt,4,72
CcLtC,5,4
CcT,3,1817
CcT.,4,105
CcT..,5,1
CcT.C,5,5
CcT.L,5,1
CcT.T,5,7
CcTc,4,467
CcTc.,5,6
CcTcC,5,10
CcTcL,5,4
CcTcT,5,23
CcTl,4,52
CcTlC,5,1
CcTlL,5,1
CcTt,4,7
CcTtC,5,1
CcTtT,5,2
Cl,2,35515
Cl.,3,27
Cl.c,4,1
ClC,3,4791
ClC.,4,7
ClC.C,5,9
ClC.L,5,1
ClCc,4,26
ClCcC,5,22
ClCcL,5,3
ClCcT,5,1
ClCl,4,6
ClCl.,5,3
ClClC,5,11
ClCt,4,10
ClCtC,5,1
ClL,3,168
ClL.,4,3
ClLc,4,5
ClLcC,5,1
ClLcL,5,1
ClT,3,1272
ClT.,4,4
ClTc,4,3
ClTcT,5,1
ClTl,4,4
ClTlL,5,1
ClTtL,5,1
ClTtT,5,1
Ct,2,45766
Ct.,3,48
Ct.c,4,1
Ct.cC,5,1
CtC,3,10089
CtC.,4,8
CtC..,5,1
CtC.C,5,7
CtCc,4,32
CtCc.,5,7
CtCcC,5,20
CtCcL,5,3
CtCl,4,10
CtClC,5,5
CtClL,5,1
CtCt,4,11
CtCt.,5,1
CtCtL,5,1
CtCtT,5,1
CtL,3,3183
CtL.,4,11
CtL.C,5,5
CtL.L,5,1
CtLc,4,14
CtLc.,5,1
CtLcC,5,5
CtLcL,5,4
CtLl,4,4
CtLlL,5,1
CtLt,4,73
CtLt.,5,9
CtLtC,5,68
CtLtL,5,3
CtLtT,5,4
CtT,3,1143
CtT.,4,2
CtT.C,5,2
CtTc,4,6
CtTcC,5,1
CtTl,4,7
CtTt,4,4
L,1,523356
L.,2,143
L.C,3,18
L.Cc,4,1
L.L,3,7
L.T,3,9
Lc,2,29404
Lc.,3,5
Lc.c,4,1
LcC,3,2063
LcC.,4,8
LcC.C,5,22
LcC.L,5,1
LcCc,4,49
LcCc.,5,29
LcCcC,5,176
LcCcL,5,13
LcCcT,5,7
LcCl,4,8
LcCl.,5,2
LcClC,5,3
LcCt,4,6
LcCtC,5,3
LcCtL,5,2
LcCtT,5,1
LcL,3,879
LcL.,4,19
LcL.C,5,2
LcL.L,5,12
LcLc,4,93
LcLc.,5,13
LcLcC,5,8
LcLcL,5,55
LcLcT,5,3
LcLl,4,2
LcLlC,5,1
LcLt,4,6
LcLtC,5,3
LcT,3,162
LcT.,4,14
LcTc,4,81
LcTc.,5,1
LcTcC,5,2
LcTcL,5,1
LcTcT,5,1
LcTl,4,3
LcTt,4,1
Ll,2,9553
Ll.,3,8
LlC,3,228
LlC.,4,1
LlCc,4,3
LlCcC,5,2
LlCcT,5,1
LlCl,4,1
LlClC,5,1
LlCt,4,1
LlL,3,290
LlL.,4,2
LlLl,4,3
LlLlC,5,2
LlT,3,539
LlT.,4,2
LlTc,4,4
LlTcC,5,1
LlTl,4,2
Lt,2,21228
Lt.,3,14
Lt.l,4,1
LtC,3,1250
LtC.,4,2
LtC.C,5,1
LtC.L,5,1
LtC.T,5,1
LtCc,4,5
LtCc.,5,3
LtCcC,5,5
LtCcL,5,1
LtCcT,5,1
LtCl,4,2
LtClC,5,2
LtClT,5,1
LtCt,4,1
LtL,3,1902
LtL.,4,1
LtLc,4,7
LtLcC,5,3
LtLl,4,1
LtLt,4,2
LtLt.,5,1
LtLtC,5,4
LtLtT,5,1
LtT,3,885
LtTc,4,9
LtTc.,5,1
LtTl,4,2
LtTlT,5,1
LtTt,4,1
T,1,344387
T.,2,57
T.C,3,10
T.L,3,1
T.LcC,5,1
T.T,3,6
Tc,2,12734
Tc.,3,6
Tc..,4,1
Tc.c,4,9
Tc.cL,5,1
TcC,3,1133
TcC.,4,6
TcC.C,5,3
TcCc,4,25
TcCc.,5,3
TcCcC,5,22
TcCcL,5,2
TcCcT,5,2
TcCl,4,3
TcClC,5,7
TcClL,5,1
TcCt,4,3
TcCt.,5,1
TcCtL,5,1
TcL,3,78
TcL.,4,2
TcL.L,5,1
TcLc,4,9
TcLc.,5,1
TcLcC,5,1
TcLcL,5,1
TcLl,4,1
TcLt,4,1
TcT,3,627
TcT.,4,42
TcTc,4,219
TcTc.,5,2
TcTcC,5,8
TcTcL,5,3
TcTl,4,3
TcTt,4,4
TcTtT,5,2
Tl,2,7876
Tl.,3,5
Tl.l,4,2
TlC,3,145
TlC.,4,1
TlC..,5,1
TlC.C,5,1
TlCc,4,3
TlCcC,5,3
TlCl,4,1
TlClC,5,1
TlCtC,5,1
TlL,3,26
TlL.,4,1
TlLc,4,3
TlLcL,5,1
TlLt,4,1
TlT,3,526
TlT.,4,7
TlTcT,5,1
TlTl,4,64
TlTt,4,2
TlTtC,5,1
Tt,2,5769
Tt.,3,4
TtC,3,545
TtCc,4,5
TtCcC,5,1
TtCcL,5,1
TtCl,4,1
TtCt,4,1
TtL,3,386
TtL.,4,1
TtLcC,5,1
TtLl,4,1
TtLlT,5,1
TtLt,4,1
TtLt.,5,1
TtT,3,1160
TtT.,4,8
TtT.C,5,2
TtTc,4,3
TtTcC,5,2
TtTl,4,55
TtTtL,5,1
t,1,2
