signatures (1 letter),length,counts
,0,3582280
.,1,6169
..,2,29
..C,3,1
..L,3,1
..Ll,4,1
..T,3,5
.c,2,364
.cC,3,35
.cCcC,5,1
.cCl,4,3
.cCt,4,3
.cL,3,24
.cLc,4,5
.cLc.,5,1
.cLt,4,1
.cT,3,18
.cTc,4,1
.cTl,4,2
.l,2,543
.l.,3,1
.lC,3,81
.lC.,4,1
.lC.C,5,1
.lClC,5,1
.lCt,4,2
.lL,3,45
.lLl,4,1
.lLlC,5,1
.lLt,4,1
.lLtT,5,1
.lT,3,65
.lTt,4,1
.t,2,413
.t.,3,2
.tC,3,25
.tCl,4,1
.tClC,5,2
.tCt,4,1
.tCtC,5,1
.tL,3,13
.tL.,4,2
.tLc,4,1
.tLl,4,1
.tLt,4,3
.tLtC,5,1
.tT,3,25
.tTl.,5,1
C,1,1155286
C.,2,427
C..,3,2
C.C,3,66
C.C.C,5,1
C.Cc,4,1
C.ClL,5,1
C.Ct,4,5
C.L,3,24
C.LlL,5,1
C.Lt,4,2
C.T,3,21
C.Tc,4,3
C.TcC,5,1
Cc,2,68282
Cc.,3,69
Cc..,4,2
Cc...,5,1
Cc..C,5,2
Cc.c,4,14
Cc.c.,5,1
Cc.cC,5,4
Cc.cL,5,1
Cc.lC,5,1
Cc.t,4,2
Cc.tC,5,1
Cc.tL,5,1
CcC,3,13255
CcC.,4,189
CcC..,5,25
CcC.C,5,151
CcC.L,5,22
CcC.T,5,5
CcCc,4,708
CcCc.,5,79
CcCcC,5,702
CcCcL,5,95
CcCcT,5,41
CcCl,4,134
CcCl.,5,29
CcClC,5,246
CcClL,5,24
CcClT,5,23
CcCt,4,88
CcCt.,5,11
CcCtC,5,53
CcCtL,5,18
CcCtT,5,9
CcL,3,6765
CcL.,4,144
CcL..,5,8
CcL.C,5,22
CcL.L,5,17
CcL.T,5,4
CcLc,4,707
CcLc.,5,32
CcLcC,5,111
CcLcL,5,137
CcLcT,5,18
CcLl,4,34
CcLl.,5,3
CcLlC,5,7
CcLlL,5,12
CcLt,4,153
CcLt.,5,1
CcLtC,5,7
CcLtL,5,12
CcLtT,5,3
CcT,3,3645
CcT.,4,65
CcT..,5,2
CcT.C,5,8
CcT.L,5,5
CcT.T,5,12
CcTc,4,275
CcTc.,5,14
CcTcC,5,42
CcTcL,5,38
CcTcT,5,42
CcTl,4,33
CcTl.,5,3
CcTlC,5,9
CcTlL,5,2
CcTlT,5,28
CcTt,4,96
CcTtC,5,4
CcTtL,5,2
CcTtT,5,5
Cl,2,84635
Cl.,3,150
Cl..,4,1
Cl..C,5,1
Cl.c,4,2
Cl.l,4,4
Cl.lC,5,9
Cl.lL,5,2
Cl.t,4,2
ClC,3,27329
ClC.,4,199
ClC..,5,28
ClC.C,5,248
ClC.L,5,11
ClC.T,5,18
ClCc,4,257
ClCc.,5,8
ClCcC,5,50
ClCcL,5,16
ClCcT,5,6
ClCl,4,226
ClCl.,5,93
ClClC,5,1079
ClClL,5,81
ClClT,5,81
ClCt,4,659
ClCt.,5,30
ClCtC,5,166
ClCtL,5,31
ClCtT,5,9
ClL,3,7361
ClL.,4,97
ClL..,5,7
ClL.C,5,14
ClL.L,5,17
ClL.T,5,5
ClLc,4,77
ClLc.,5,6
ClLcC,5,9
ClLcL,5,6
ClLcT,5,1
ClLl,4,154
ClLl.,5,20
ClLlC,5,59
ClLlL,5,89
ClLlT,5,9
ClLt,4,222
ClLt.,5,1
ClLtC,5,3
ClLtL,5,3
ClLtT,5,14
ClT,3,8429
ClT.,4,71
ClT..,5,1
ClT.C,5,10
ClT.L,5,2
ClT.T,5,12
ClTc,4,26
ClTc.,5,2
ClTcC,5,7
ClTcL,5,2
ClTcT,5,31
ClTl,4,289
ClTl.,5,3
ClTlC,5,30
ClTlL,5,10
ClTlT,5,44
ClTt,4,113
ClTtC,5,1
ClTtL,5,1
ClTtT,5,5
Ct,2,79028
Ct.,3,51
Ct..,4,3
Ct..L,5,1
Ct.cC,5,1
Ct.l,4,1
Ct.lC,5,1
Ct.t,4,5
Ct.tC,5,2
Ct.tL,5,1
CtC,3,12600
CtC.,4,92
CtC..,5,14
CtC.C,5,74
CtC.L,5,24
CtC.T,5,6
CtCc,4,100
CtCc.,5,3
CtCcC,5,18
CtCcL,5,8
CtCcT,5,5
CtCl,4,51
CtCl.,5,19
CtClC,5,68
CtClL,5,54
CtClT,5,16
CtCt,4,360
CtCt.,5,59
CtCtC,5,386
CtCtL,5,19
CtCtT,5,37
CtL,3,4540
CtL.,4,147
CtL..,5,5
CtL.C,5,15
CtL.L,5,14
CtL.T,5,6
CtLc,4,137
CtLc.,5,1
CtLcC,5,4
CtLcL,5,7
CtLcT,5,4
CtLl,4,206
CtLl.,5,9
CtLlC,5,9
CtLlL,5,62
CtLlT,5,34
CtLt,4,737
CtLt.,5,9
CtLtC,5,80
CtLtL,5,9
CtLtT,5,7
CtT,3,3789
CtT.,4,22
CtT..,5,2
CtT.C,5,2
CtT.L,5,8
CtT.T,5,26
CtTc,4,22
CtTc.,5,3
CtTcC,5,6
CtTcL,5,41
CtTcT,5,5
CtTl,4,84
CtTl.,5,4
CtTlC,5,10
CtTlL,5,2
CtTlT,5,121
CtTt,4,95
CtTt.,5,4
CtTtC,5,4
CtTtL,5,2
CtTtT,5,36
L,1,595927
L.,2,216
L..,3,1
L.C,3,19
L.Cl,4,1
L.L,3,22
L.Lc,4,3
L.LcL,5,1
L.Ll,4,1
L.LtC,5,1
L.LtT,5,1
L.T,3,12
L.T.T,5,1
Lc,2,35474
Lc.,3,12
Lc..,4,1
Lc..L,5,1
Lc.c,4,1
Lc.l,4,2
LcC,3,2316
LcC.,4,23
LcC..,5,1
LcC.C,5,14
LcC.L,5,3
LcC.T,5,2
LcCc,4,27
LcCc.,5,8
LcCcC,5,88
LcCcL,5,10
LcCcT,5,4
LcCl,4,22
LcCl.,5,3
LcClC,5,16
LcClL,5,1
LcClT,5,2
LcCt,4,143
LcCt.,5,1
LcCtC,5,8
LcCtL,5,2
LcL,3,2501
LcL.,4,79
LcL..,5,1
LcL.C,5,8
LcL.L,5,10
LcL.T,5,1
LcLc,4,226
LcLc.,5,8
LcLcC,5,47
LcLcL,5,52
LcLcT,5,9
LcLl,4,99
LcLlC,5,11
LcLlL,5,4
LcLlT,5,1
LcLt,4,72
LcLtC,5,6
LcLtL,5,2
LcT,3,1999
LcT.,4,23
LcT.C,5,1
LcT.L,5,2
LcTc,4,56
LcTc.,5,1
LcTcC,5,5
LcTcL,5,5
LcTcT,5,7
LcTl,4,10
LcTlC,5,2
LcTlL,5,4
LcTlT,5,5
LcTt,4,58
LcTtC,5,1
LcTtL,5,1
Ll,2,34732
Ll.,3,20
Ll..T,5,1
Ll.c,4,1
Ll.l,4,3
Ll.t,4,1
LlC,3,2188
LlC.,4,25
LlC.C,5,14
LlC.L,5,2
LlC.T,5,1
LlCc,4,22
LlCc.,5,3
LlCcC,5,6
LlCcL,5,6
LlCcT,5,1
LlCl,4,58
LlCl.,5,3
LlClC,5,42
LlClL,5,7
LlClT,5,4
LlCt,4,26
LlCt.,5,3
LlCtC,5,5
LlCtL,5,4
LlCtT,5,4
LlL,3,5207
LlL.,4,118
LlL..,5,2
LlL.C,5,3
LlL.L,5,10
LlL.T,5,7
LlLc,4,80
LlLcC,5,5
LlLcL,5,2
LlLcT,5,5
LlLl,4,204
LlLl.,5,8
LlLlC,5,16
LlLlL,5,37
LlLlT,5,7
LlLt,4,268
LlLt.,5,6
LlLtC,5,2
LlLtL,5,32
LlLtT,5,66
LlT,3,2833
LlT.,4,33
LlT.C,5,1
LlT.L,5,1
LlT.T,5,2
LlTc,4,118
LlTcC,5,4
LlTcL,5,2
LlTcT,5,7
LlTl,4,95
LlTlC,5,6
LlTlL,5,1
LlTlT,5,7
LlTt,4,17
LlTtL,5,2
Lt,2,48684
Lt.,3,20
Lt.l,4,2
Lt.t,4,2
Lt.tC,5,1
LtC,3,890
LtC.,4,11
LtC..,5,1
LtC.C,5,6
LtC.L,5,1
LtC.T,5,1
LtCc,4,8
LtCcC,5,3
LtCcL,5,1
LtCl,4,13
LtCl.,5,4
LtClC,5,19
LtClL,5,4
LtClT,5,4
LtCt,4,22
LtCt.,5,1
LtCtC,5,13
LtCtL,5,3
LtCtT,5,2
LtL,3,5882
