signatures (1 letter),length,counts
,0,3386365
.,1,7992
..,2,22
..L,3,1
.c,2,311
.c.,3,2
.c.c,4,1
.cC,3,82
.cC.,4,1
.cCc,4,4
.cCcC,5,1
.cCl,4,4
.cCtC,5,3
.cL,3,37
.cLc,4,4
.cLcL,5,1
.cLl,4,1
.cT,3,11
.cTc,4,1
.cTcL,5,1
.cTl,4,1
.l,2,605
.lC,3,83
.lCc,4,1
.lCl,4,1
.lClC,5,2
.lClT,5,1
.lL,3,29
.lLl,4,2
.lT,3,9
.lTtL,5,1
.t,2,90
.tC,3,37
.tC.,4,1
.tCl,4,2
.tClC,5,2
.tClL,5,1
.tL,3,16
.tT,3,3
C,1,1524275
C.,2,708
C.C,3,99
C.C.,4,1
C.Cc,4,1
C.Cc.,5,2
C.Cl,4,2
C.L,3,35
C.L.,4,1
C.LlC,5,1
C.T,3,9
Cc,2,89570
Cc.,3,128
Cc..,4,10
Cc...,5,1
Cc..C,5,2
Cc..L,5,1
Cc.c,4,28
Cc.c.,5,1
Cc.cC,5,6
Cc.cL,5,1
Cc.cT,5,1
Cc.l,4,5
Cc.lL,5,1
CcC,3,26330
CcC.,4,393
CcC..,5,23
CcC.C,5,233
CcC.L,5,37
CcC.T,5,5
CcCc,4,1148
CcCc.,5,96
CcCcC,5,988
CcCcL,5,173
CcCcT,5,27
CcCct,5,1
CcCl,4,778
CcCl.,5,35
CcClC,5,237
CcClL,5,72
CcClT,5,6
CcCt,4,49
CcCt.,5,25
CcCtC,5,208
CcCtL,5,12
CcCtT,5,1
CcL,3,11486
CcL.,4,93
CcL..,5,4
CcL.C,5,33
CcL.L,5,26
CcL.T,5,3
CcLc,4,343
CcLc.,5,39
CcLcC,5,148
CcLcL,5,182
CcLcT,5,17
CcLl,4,246
CcLl.,5,4
CcLlC,5,22
CcLlL,5,21
CcLlT,5,2
CcLt,4,7
CcLt.,5,5
CcLtC,5,5
CcLtL,5,17
CcLtT,5,1
CcT,3,2614
CcT.,4,100
CcT..,5,2
CcT.C,5,6
CcT.L,5,6
CcT.T,5,3
CcTc,4,279
CcTc.,5,6
CcTcC,5,34
CcTcL,5,18
CcTcT,5,16
CcTl,4,265
CcTlC,5,3
CcTlL,5,4
CcTt,4,28
CcTtC,5,3
CcTtL,5,3
CcTtT,5,1
Cct,3,1
Cl,2,157539
Cl.,3,99
Cl..,4,5
Cl..L,5,1
Cl.c,4,1
Cl.c.,5,1
Cl.l,4,11
Cl.lC,5,2
Cl.tL,5,2
ClC,3,25207
ClC.,4,244
ClC..,5,8
ClC.C,5,88
ClC.L,5,10
ClC.T,5,1
ClCc,4,128
ClCc.,5,11
ClCcC,5,78
ClCcL,5,28
ClCcT,5,6
ClCl,4,1096
ClCl.,5,29
ClClC,5,351
ClClL,5,48
ClClT,5,24
ClCt,4,24
ClCt.,5,2
ClCtC,5,31
ClCtL,5,9
ClL,3,9001
ClL.,4,110
ClL..,5,1
ClL.C,5,1
ClL.L,5,23
ClLc,4,77
ClLc.,5,6
ClLcC,5,15
ClLcL,5,9
ClLcT,5,3
ClLl,4,595
ClLl.,5,18
ClLlC,5,27
ClLlL,5,94
ClLt,4,5
ClLt.,5,1
ClLtL,5,3
ClT,3,665
ClT.,4,19
ClT..,5,1
ClT.C,5,1
ClT.L,5,6
ClTc,4,6
ClTl,4,92
ClTlC,5,2
ClTt,4,1
ClTt.,5,1
ClTtC,5,1
ClTtL,5,37
Ct,2,28709
Ct.,3,57
Ct..,4,1
Ct.cC,5,1
Ct.l,4,5
Ct.tC,5,2
CtC,3,13398
CtC.,4,109
CtC..,5,7
CtC.C,5,62
CtC.L,5,11
CtC.T,5,1
CtCc,4,66
CtCc.,5,11
CtCcC,5,48
CtCcL,5,15
CtCcT,5,4
CtCl,4,538
CtCl.,5,35
CtClC,5,253
CtClL,5,54
CtClT,5,2
CtCt,4,46
CtCt.,5,13
CtCtC,5,95
CtCtL,5,22
CtL,3,4450
CtL.,4,18
CtL..,5,1
CtL.C,5,4
CtL.L,5,3
CtLc,4,16
CtLc.,5,1
CtLcC,5,9
CtLcL,5,7
CtLl,4,96
CtLl.,5,3
CtLlC,5,6
CtLlL,5,16
CtLt,4,1
CtLt.,5,2
CtLtC,5,1
CtLtL,5,1
CtT,3,882
CtT.,4,9
CtT.C,5,1
CtTc,4,8
CtTcL,5,1
CtTl,4,44
CtTlC,5,2
CtTlT,5,1
CtTt,4,27
CtTt.,5,2
CtTtC,5,1
L,1,499414
L.,2,175
L.C,3,14
L.Cc,4,1
L.L,3,24
L.Lc,4,1
L.Ll,4,2
L.T,3,2
L.T.,4,1
Lc,2,20877
Lc.,3,13
Lc..L,5,1
Lc.c,4,2
Lc.tC,5,1
LcC,3,3366
LcC.,4,39
LcC..,5,6
LcC.C,5,24
LcC.L,5,4
LcCc,4,118
LcCc.,5,18
LcCcC,5,165
LcCcL,5,11
LcCcT,5,5
LcCl,4,83
LcCl.,5,9
LcClC,5,37
LcClL,5,5
LcCt,4,5
LcCt.,5,2
LcCtC,5,15
LcCtL,5,1
LcL,3,4906
LcL.,4,49
LcL..,5,2
LcL.C,5,6
LcL.L,5,18
LcL.T,5,1
LcLc,4,222
LcLc.,5,21
LcLcC,5,18
LcLcL,5,98
LcLcT,5,3
LcLl,4,75
LcLl.,5,2
LcLlC,5,12
LcLlL,5,4
LcLt.,5,5
LcLtC,5,4
LcLtL,5,11
LcT,3,310
LcT.,4,9
LcT.L,5,2
LcTc,4,24
LcTcC,5,1
LcTcL,5,6
LcTl,4,8
LcTt,4,1
Ll,2,36979
Ll.,3,11
Ll..L,5,1
Ll.c,4,1
Ll.l,4,4
Ll.lC,5,2
LlC,3,1826
LlC.,4,16
LlC..,5,1
LlC.C,5,12
LlC.L,5,2
LlC.T,5,1
LlCc,4,14
LlCc.,5,1
LlCcC,5,11
LlCcL,5,4
LlCcT,5,1
LlCl,4,84
LlCl.,5,3
LlClC,5,58
LlClL,5,6
LlClT,5,2
LlCtC,5,6
LlCtT,5,2
LlL,3,5463
LlL.,4,98
LlL..,5,2
LlL.C,5,6
LlL.L,5,8
LlLc,4,36
LlLc.,5,5
LlLcC,5,10
LlLcL,5,31
LlLl,4,395
LlLl.,5,9
LlLlC,5,17
LlLlL,5,38
LlLlT,5,3
LlLt,4,1
LlLtC,5,1
LlT,3,175
LlT.,4,20
LlTc,4,4
LlTl,4,73
LlTl.,5,1
LlTlC,5,2
LlTlT,5,1
LlTtL,5,1
Lt,2,5339
Lt.,3,4
Lt.l,4,1
LtC,3,707
LtC.,4,1
LtC.C,5,4
LtCc,4,10
LtCcC,5,8
LtCcT,5,1
LtCl,4,18
LtClC,5,6
LtClL,5,1
LtClT,5,1
LtCtC,5,3
LtCtL,5,1
LtL,3,2262
LtL.,4,21
LtL.L,5,1
LtL.T,5,1
LtLc,4,8
LtLcL,5,1
LtLl,4,82
LtLlC,5,1
LtLlL,5,1
LtLt,4,1
LtT,3,147
LtT.,4,4
LtT.L,5,2
LtTl,4,28
LtTlL,5,8
LtTt,4,1
T,1,128215
T.,2,44
T.C,3,3
T.L,3,3
T.T,3,2
Tc,2,7905
Tc.,3,5
Tc..,4,1
Tc.c,4,4
TcC,3,460
TcC.,4,7
TcC.C,5,4
TcCc,4,17
TcCcC,5,14
TcCcL,5,1
TcCl,4,37
TcCl.,5,2
TcClC,5,1
TcClL,5,1
TcL,3,458
TcL.,4,6
TcL..,5,1
TcL.C,5,2
TcL.L,5,3
TcLc,4,17
TcLc.,5,2
TcLcC,5,6
TcLcL,5,19
