signatures (1 letter),length,counts
,0,3799353
.,1,7814
..,2,70
..C,3,2
..L,3,3
..T,3,4
.c,2,304
.c.,3,1
.cC,3,38
.cC.,4,2
.cCc,4,1
.cCl,4,3
.cL,3,27
.cLc,4,1
.cLt.,5,1
.cT,3,17
.cT.,4,1
.cTc,4,3
.cTcL,5,1
.cTl,4,1
.cTt,4,2
.l,2,733
.l.,3,2
.lC,3,47
.lCc,4,1
.lCl,4,1
.lClC,5,1
.lL,3,45
.lLl,4,2
.lT,3,13
.lT.,4,2
.lTc,4,1
.t,2,262
.t.,3,1
.tC,3,49
.tClC,5,1
.tCtC,5,1
.tL,3,86
.tLlL,5,1
.tT,3,18
.tTl,4,2
C,1,1237464
C.,2,658
C..,3,1
C.C,3,72
C.C.,4,1
C.L,3,32
C.L..,5,1
C.LcL,5,1
C.Ll,4,1
C.T,3,12
Cc,2,64759
Cc.,3,60
Cc..,4,2
Cc..C,5,2
Cc.c,4,6
Cc.cL,5,5
Cc.l,4,1
Cc.tT,5,1
CcC,3,11277
CcC.,4,141
CcC..,5,12
CcC.C,5,113
CcC.L,5,19
CcCc,4,404
CcCc.,5,71
CcCcC,5,466
CcCcL,5,104
CcCcT,5,19
CcCl,4,252
CcCl.,5,9
CcClC,5,75
CcClL,5,19
CcClT,5,5
CcCt,4,52
CcCt.,5,5
CcCtC,5,79
CcCtL,5,17
CcCtT,5,8
CcL,3,5852
CcL.,4,50
CcL..,5,2
CcL.C,5,6
CcL.L,5,20
CcL.T,5,2
CcLc,4,302
CcLc.,5,11
CcLcC,5,12
CcLcL,5,82
CcLcT,5,5
CcLl,4,41
CcLl.,5,1
CcLlC,5,5
CcLlL,5,7
CcLt,4,13
CcLt.,5,16
CcLtC,5,50
CcLtL,5,16
CcLtT,5,2
CcT,3,2873
CcT.,4,109
CcT..,5,1
CcT.C,5,2
CcT.L,5,6
CcT.T,5,3
CcTc,4,226
CcTc.,5,11
CcTcC,5,13
CcTcL,5,83
CcTcT,5,43
CcTl,4,88
CcTlC,5,1
CcTlL,5,3
CcTlT,5,2
CcTt,4,59
CcTtC,5,1
CcTtL,5,5
CcTtT,5,3
Cl,2,128212
Cl.,3,64
Cl..,4,3
Cl.cC,5,1
Cl.l,4,7
Cl.lC,5,1
Cl.lL,5,1
Cl.tC,5,1
ClC,3,16067
ClC.,4,101
ClC..,5,6
ClC.C,5,44
ClC.L,5,10
ClC.T,5,2
ClCc,4,66
ClCc.,5,6
ClCcC,5,18
ClCcL,5,7
ClCcT,5,1
ClCl,4,317
ClCl.,5,19
ClClC,5,205
ClClL,5,23
ClClT,5,5
ClCt,4,29
ClCt.,5,2
ClCtC,5,27
ClCtL,5,9
ClCtT,5,7
ClL,3,6365
ClL.,4,49
ClL..,5,1
ClL.C,5,5
ClL.L,5,14
ClLc,4,37
ClLc.,5,1
ClLcC,5,7
ClLcL,5,10
ClLcT,5,1
ClLl,4,238
ClLl.,5,12
ClLlC,5,23
ClLlL,5,87
ClLlT,5,7
ClLt,4,8
ClLt.,5,1
ClLtC,5,2
ClLtL,5,10
ClLtT,5,2
ClT,3,999
ClT.,4,41
ClT.C,5,1
ClT.L,5,8
ClTc,4,10
ClTcC,5,2
ClTcL,5,1
ClTcT,5,4
ClTl,4,172
ClTl.,5,1
ClTlC,5,2
ClTlL,5,5
ClTlT,5,4
ClTt,4,11
ClTtC,5,2
ClTtL,5,33
ClTtT,5,5
Ct,2,61837
Ct.,3,82
Ct..,4,2
Ct..C,5,1
Ct..L,5,1
Ct..T,5,2
Ct.c,4,1
Ct.cC,5,1
Ct.cL,5,1
Ct.l,4,7
Ct.lL,5,2
