signatures (1 letter),length,counts
,0,3732252
.,1,6240
..,2,135
..L,3,2
..T,3,4
.c,2,356
.cC,3,54
.cCc,4,1
.cCtC,5,3
.cL,3,12
.cT,3,28
.cT.,4,1
.cTc,4,4
.cTc.,5,1
.cTcT,5,2
.l,2,121
.lC,3,9
.lCt,4,1
.lCtC,5,1
.lT,3,12
.t,2,323
.t.,3,3
.tC,3,76
.tC.C,5,1
.tCt,4,3
.tCtC,5,1
.tL,3,25
.tT,3,21
.tTcL,5,1
.tTt,4,1
.tTtC,5,1
C,1,1291272
C.,2,260
C..c,4,1
C.C,3,39
C.C.C,5,1
C.CcC,5,1
C.Cl.,5,1
C.CtC,5,1
C.L,3,6
C.Lc,4,1
C.T,3,12
C.Tc,4,1
Cc,2,72887
Cc.,3,59
Cc..,4,3
Cc.c,4,8
Cc.c.,5,1
Cc.cC,5,2
Cc.cL,5,1
Cc.lC,5,1
Cc.t,4,1
Cc.tC,5,1
CcC,3,14120
CcC.,4,130
CcC..,5,18
CcC.C,5,114
CcC.L,5,4
CcC.T,5,11
CcCc,4,598
CcCc.,5,68
CcCcC,5,588
CcCcL,5,34
CcCcT,5,43
CcCl,4,21
CcCl.,5,5
CcClC,5,26
CcClT,5,2
CcCt,4,68
CcCt.,5,13
CcCtC,5,92
CcCtL,5,13
CcCtT,5,14
CcL,3,1094
CcL.,4,32
CcL.C,5,7
CcL.L,5,3
CcLc,4,239
CcLc.,5,5
CcLcC,5,24
CcLcL,5,9
CcLcT,5,5
CcLl,4,4
CcLt,4,15
CcLtC,5,3
CcLtL,5,3
CcT,3,3435
CcT.,4,81
CcT..,5,4
CcT.C,5,2
CcT.L,5,3
CcT.T,5,5
CcTc,4,553
CcTc.,5,7
CcTcC,5,16
CcTcL,5,5
CcTcT,5,32
CcTl,4,5
CcTlC,5,1
CcTlT,5,2
CcTt,4,41
CcTt.,5,2
CcTtC,5,8
CcTtL,5,12
CcTtT,5,7
Cl,2,28892
Cl.,3,32
Cl..,4,1
Cl.c,4,2
Cl.l,4,2
ClC,3,4263
ClC.,4,11
ClC..,5,1
ClC.C,5,15
ClC.L,5,1
ClC.T,5,1
ClCc,4,14
ClCc.,5,1
ClCcC,5,13
ClCcT,5,3
ClCl,4,9
ClCl.,5,4
ClClC,5,42
ClClL,5,3
ClClT,5,1
ClCt,4,15
ClCt.,5,3
ClCtC,5,35
ClCtL,5,1
ClCtT,5,4
ClL,3,508
ClL.L,5,1
ClLc,4,5
ClLcC,5,1
ClLcL,5,2
ClLlL,5,1
ClLt,4,3
ClLtC,5,1
ClLtL,5,1
ClT,3,1420
ClT.,4,16
ClT.C,5,1
ClT.L,5,1
ClTc,4,34
ClTcC,5,1
ClTcL,5,1
ClTcT,5,2
ClTl,4,42
ClTlC,5,1
ClTlT,5,1
ClTt,4,2
ClTtC,5,2
ClTtT,5,1
Ct,2,72918
Ct.,3,77
Ct..,4,2
Ct..T,5,2
Ct.c,4,1
Ct.t,4,5
Ct.tC,5,3
Ct.tL,5,2
CtC,3,19152
CtC.,4,59
CtC..,5,14
CtC.C,5,95
CtC.L,5,4
CtC.T,5,4
CtCc,4,89
CtCc.,5,3
CtCcC,5,39
CtCcL,5,2
CtCcT,5,14
CtCl,4,52
CtCl.,5,5
CtClC,5,35
CtClT,5,3
CtCt,4,216
CtCt.,5,71
CtCtC,5,526
CtCtL,5,24
CtCtT,5,39
CtCtt,5,1
CtL,3,3596
CtL.,4,30
CtL.C,5,2
CtL.L,5,1
CtL.T,5,1
CtLc,4,35
CtLc.,5,1
CtLcC,5,4
CtLcL,5,1
CtLcT,5,1
CtLl,4,2
CtLt,4,102
CtLt.,5,1
CtLtC,5,6
CtLtL,5,4
CtLtT,5,1
CtT,3,4962
CtT.,4,24
CtT..,5,3
CtT.C,5,7
CtT.L,5,11
CtT.T,5,13
CtTc,4,36
CtTc.,5,4
CtTcC,5,6
CtTcL,5,1
CtTcT,5,4
CtTl,4,6
CtTl.,5,1
CtTlC,5,2
CtTlT,5,52
CtTt,4,166
CtTt.,5,5
CtTtC,5,29
CtTtL,5,47
CtTtT,5,41
L,1,428602
L.,2,87
L.C,3,5
L.CtC,5,1
L.L,3,10
L.Lc,4,1
L.T,3,7
Lc,2,27661
Lc.,3,8
Lc.c,4,2
Lc.tT,5,1
LcC,3,1976
LcC.,4,14
LcC..,5,4
LcC.C,5,7
LcC.T,5,2
LcCc,4,48
LcCc.,5,5
LcCcC,5,22
LcCcL,5,5
LcCcT,5,1
LcCl,4,2
LcCl.,5,1
LcClC,5,4
LcClL,5,1
LcCt,4,15
LcCt.,5,2
LcCtC,5,29
LcCtL,5,1
LcCtT,5,2
LcL,3,1238
LcL.,4,52
