signatures (1 letter),length,counts
,0,4885313
.,1,7365
..,2,39
..C,3,2
.c,2,299
.c.,3,1
.cC,3,62
.cC.,4,1
.cCc,4,4
.cCcC,5,5
.cCcL,5,1
.cClC,5,1
.cL,3,33
.cLc,4,2
.l,2,532
.l.,3,1
.lC,3,114
.lC.C,5,1
.lCc.,5,1
.lCl,4,1
.lCl.,5,1
.lL,3,44
.lLc,4,1
.lLcC,5,1
.lLcL,5,1
.lLl,4,8
.t,2,16
.tC,3,1
C,1,1626045
C.,2,836
C..,3,1
C.C,3,177
C.CcC,5,3
C.ClC,5,1
C.L,3,50
C.L.,4,1
C.L..,5,1
C.Lc,4,4
C.LcC,5,2
C.T,3,2
Cc,2,107640
Cc.,3,63
Cc..,4,3
Cc.c,4,7
Cc.cC,5,3
Cc.cL,5,1
Cc.l,4,3
Cc.lC,5,1
Cc.t,4,1
CcC,3,21835
CcC.,4,283
CcC..,5,28
CcC.C,5,215
CcC.L,5,17
CcCc,4,1343
CcCc.,5,124
CcCcC,5,1197
CcCcL,5,107
CcCcT,5,16
CcCl,4,233
CcCl.,5,9
CcClC,5,125
CcClL,5,21
CcCt,4,6
CcCtC,5,1
CcL,3,7078
CcL.,4,176
CcL..,5,2
CcL.C,5,24
CcL.L,5,9
CcLc,4,932
CcLc.,5,13
CcLcC,5,157
CcLcL,5,34
CcLcT,5,1
CcLl,4,126
CcLl.,5,3
CcLlC,5,29
CcLlL,5,11
CcLlT,5,1
CcLt,4,8
CcT,3,78
CcT.L,5,1
CcTc,4,3
CcTcC,5,1
CcTcL,5,1
CcTcT,5,1
CcTl,4,2
Cl,2,130525
Cl.,3,113
Cl..C,5,2
Cl..L,5,1
Cl.c,4,2
Cl.l,4,3
Cl.l.,5,1
Cl.lC,5,9
ClC,3,47517
ClC.,4,161
ClC..,5,36
ClC.C,5,286
ClC.L,5,29
ClC.T,5,4
ClCc,4,402
ClCc.,5,29
ClCcC,5,205
ClCcL,5,34
ClCcT,5,1
ClCl,4,349
ClCl.,5,108
ClClC,5,1222
ClClL,5,149
ClClT,5,17
ClCt,4,12
ClCt.,5,1
ClCtL,5,3
ClL,3,11636
ClL.,4,101
ClL..,5,6
ClL.C,5,53
ClL.L,5,9
ClLc,4,350
ClLc.,5,18
ClLcC,5,132
ClLcL,5,33
ClLcT,5,1
ClLl,4,276
ClLl.,5,22
ClLlC,5,206
ClLlL,5,12
ClLlT,5,4
ClLt,4,8
ClT,3,162
ClT.,4,1
ClT.C,5,1
ClTc,4,4
ClTl,4,2
Ct,2,4111
Ct.,3,2
CtC,3,81
CtCc,4,2
CtClC,5,2
CtL,3,255
CtL.,4,17
CtLc,4,1
CtLl,4,3
CtLt,4,65
CtLt.,5,1
CtLtL,5,1
CtLtT,5,1
CtT,3,8
CtTlL,5,1
CtTt,4,1
L,1,906482
L.,2,435
L.C,3,56
L.C.C,5,1
L.Cc,4,1
L.CcC,5,1
L.ClL,5,1
L.L,3,27
Lc,2,50094
Lc.,3,19
Lc..,4,3
Lc...,5,1
Lc.c,4,1
Lc.cC,5,1
Lc.cL,5,1
Lc.l,4,1
LcC,3,2812
LcC.,4,55
LcC..,5,4
LcC.C,5,24
LcC.L,5,8
LcCc,4,89
LcCc.,5,23
LcCcC,5,191
LcCcL,5,19
LcCl,4,104
LcCl.,5,1
LcClC,5,40
LcClL,5,5
LcCt,4,1
LcCtC,5,1
LcL,3,5545
LcL.,4,196
LcL..,5,1
LcL.C,5,19
LcL.L,5,14
LcLC,4,1
LcLc,4,1137
LcLc.,5,21
LcLcC,5,107
LcLcL,5,112
LcLl,4,46
LcLl.,5,5
LcLlC,5,17
LcLlL,5,4
LcLlT,5,1
LcLt,4,10
LcT,3,27
LcT.,4,2
LcT.L,5,1
LcTc,4,1
LcTcC,5,1
Ll,2,65604
Ll.,3,31
Ll.l,4,2
Ll.lL,5,2
LlC,3,7436
LlC.,4,24
LlC..,5,2
LlC.C,5,30
LlC.L,5,4
LlCc,4,61
LlCc.,5,1
LlCcC,5,36
LlCcL,5,2
LlCl,4,51
LlCl.,5,19
LlClC,5,174
LlClL,5,12
LlClT,5,2
LlL,3,10319
LlL.,4,158
LlL..,5,3
LlL.C,5,9
LlL.L,5,13
LlLc,4,215
LlLc.,5,3
LlLcC,5,19
LlLcL,5,39
LlLl,4,557
LlLl.,5,7
LlLlC,5,21
LlLlL,5,62
LlLlT,5,3
LlLt,4,1
LlT,3,54
LlTl,4,1
LlTlC,5,1
Lt,2,7043
Lt.,3,2
LtC,3,72
LtCc,4,2
LtCcL,5,2
LtCl,4,2
LtL,3,200
LtL.,4,2
LtLc,4,1
LtLl,4,1
LtLt,4,1
LtLtL,5,1
LtT,3,4
T,1,77746
T.,2,26
T.C,3,5
T.L,3,3
Tc,2,4327
Tc.cC,5,1
TcC,3,193
TcC.,4,2
TcC..,5,1
TcC.C,5,10
TcC.L,5,1
TcCc,4,8
TcCc.,5,3
TcCcC,5,38
TcCcL,5,6
TcCl,4,1
TcClC,5,2
TcClL,5,1
TcL,3,375
TcL.,4,14
TcLc,4,83
TcLcC,5,6
TcLcL,5,3
TcLl,4,6
TcLlL,5,2
TcLt,4,1
TcT,3,7
TcTc,4,1
TcTcC,5,1
Tl,2,9733
Tl.,3,4
TlC,3,335
TlC.,4,2
TlC..,5,1
TlC.C,5,1
TlCc,4,2
TlCcC,5,6
TlCl,4,3
TlCl.,5,1
TlClC,5,8
TlClL,5,1
TlL,3,386
TlL.,4,2
TlL..,5,2
TlLc,4,1
TlLcC,5,1
TlLl,4,3
TlLlC,5,2
TlLt,4,1
TlT,3,6
Tt,2,77
TtC,3,1
TtCtC,5,1
TtL,3,8
TtT,3,6
TtTt,4,1
l,1,1
