,proportion
C,0.6472305286682496
L,0.16040366490576316
T,0.08462226228410559
Cc,0.037644074844748944
Cl,0.009425305618219798
Ct,0.012118944884557737
Lc,0.008816541522818116
Ll,0.002385204195365449
Lt,0.0026826961035044867
Tc,0.003852398619702395
Tl,0.001983144286817866
Tt,0.0017180765648520202
CcC,0.009645790084197506
CcL,0.0008231690264719161
CcT,0.0002050829775454405
ClC,0.003159331640250412
ClL,8.024986077865062e-05
ClT,0.0001742800006809079
CtC,0.004840525693330426
CtL,0.0010237936784185428
CtT,0.0005195975834254046
LcC,0.0007408926540574411
LcL,0.0006359193513217315
LcT,0.00012888614003843887
LlC,0.00014347702381637534
LlL,0.00014874595406951907
LlT,6.484837234638434e-06
LtC,0.00022048446597770674
LtL,0.0008235743287990812
LtT,0.00024358669862610617
TcC,0.0003088403732996554
TcL,8.754530266761885e-05
TcT,0.00012726493072977925
TlC,0.00011632176789632692
TlL,6.525367467354924e-05
TlT,5.268930253143728e-06
TtC,0.00027438967549063873
TtL,2.472344195705903e-05
TtT,0.0002727684661819791
CcCc,0.000683339723600025
CcCl,6.8901395618033355e-06
CcCt,2.1075721012574912e-05
CcLc,0.00014266641916204555
CcLl,8.106046543298042e-07
CcLt,1.6212093086596084e-06
CcTc,6.809079096370356e-05
CcTl,4.053023271649021e-07
CcTt,8.106046543298042e-07
ClCc,1.4590883777936477e-05
ClCl,1.4996186105101378e-05
ClCt,2.837116290154315e-06
ClLc,4.053023271649021e-07
ClLl,1.2159069814947063e-06
ClLt,0.0
ClTc,1.2159069814947063e-06
ClTl,0.0
ClTt,0.0
CtCc,2.0670418685410008e-05
CtCl,4.0530232716490214e-06
CtCt,1.134846516061726e-05
CtLc,3.242418617319217e-06
CtLl,0.0
CtLt,0.0
CtTc,3.242418617319217e-06
CtTl,0.0
CtTt,0.0
LcCc,5.552641882159159e-05
LcCl,2.0265116358245107e-06
LcCt,2.837116290154315e-06
LcLc,6.849609329086845e-05
LcLl,8.106046543298042e-07
LcLt,8.106046543298042e-07
LcTc,1.134846516061726e-05
LcTl,4.053023271649021e-07
LcTt,8.106046543298042e-07
LlCc,4.053023271649021e-07
LlCl,0.0
LlCt,0.0
LlLc,8.106046543298042e-07
LlLl,2.4318139629894126e-06
LlLt,0.0
LlTc,0.0
LlTl,0.0
LlTt,0.0
LtCc,2.4318139629894126e-06
LtCl,0.0
LtCt,4.053023271649021e-07
LtLc,8.106046543298042e-07
LtLl,0.0
LtLt,4.053023271649021e-07
LtTc,0.0
LtTl,4.053023271649021e-07
LtTt,4.053023271649021e-07
TcCc,2.4318139629894127e-05
TcCl,8.106046543298042e-07
TcCt,1.2159069814947063e-06
TcLc,1.2159069814947063e-06
TcLl,0.0
TcLt,8.106046543298042e-07
TcTc,9.281423292076258e-05
TcTl,4.053023271649021e-07
TcTt,0.0
TlCc,4.053023271649021e-07
TlCl,0.0
TlCt,8.106046543298042e-07
TlLc,4.053023271649021e-07
TlLl,8.106046543298042e-07
TlLt,0.0
TlTc,0.0
TlTl,0.0
TlTt,0.0
TtCc,2.7560558247213342e-05
TtCl,4.053023271649021e-07
TtCt,0.0
TtLc,4.053023271649021e-07
TtLl,0.0
TtLt,4.053023271649021e-07
TtTc,1.2159069814947063e-06
TtTl,0.0
TtTt,0.0
CcCcC,0.00045069618780737116
CcCcL,2.3507534975564323e-05
CcCcT,1.2159069814947063e-05
CcClC,1.8238604722420594e-05
CcClL,1.6212093086596084e-06
CcClT,1.2159069814947063e-06
CcCtC,4.620446529679884e-05
CcCtL,4.458325598813923e-06
CcCtT,2.837116290154315e-06
CcLcC,1.2564372142111965e-05
CcLcL,2.3912837302729223e-05
CcLcT,2.4318139629894126e-06
CcLlC,0.0
CcLlL,4.053023271649021e-07
CcLlT,0.0
CcLtC,4.053023271649021e-07
CcLtL,8.106046543298042e-07
CcLtT,0.0
CcTcC,2.1886325666904712e-05
CcTcL,4.053023271649021e-07
CcTcT,8.106046543298042e-07
CcTlC,0.0
CcTlL,0.0
CcTlT,0.0
CcTtC,4.053023271649021e-07
CcTtL,0.0
CcTtT,8.106046543298042e-07
ClCcC,1.5401488432266282e-05
ClCcL,1.6212093086596084e-06
ClCcT,8.106046543298042e-07
ClClC,3.485600013618158e-05
ClClL,2.0265116358245107e-06
ClClT,0.0
ClCtC,2.0265116358245107e-06
ClCtL,0.0
ClCtT,0.0
ClLcC,0.0
ClLcL,4.053023271649021e-07
ClLcT,0.0
ClLlC,0.0
ClLlL,8.106046543298042e-07
ClLlT,0.0
ClLtC,0.0
ClLtL,0.0
ClLtT,0.0
ClTcC,4.053023271649021e-07
ClTcL,0.0
ClTcT,0.0
ClTlC,0.0
ClTlL,0.0
ClTlT,0.0
ClTtC,0.0
ClTtL,0.0
ClTtT,0.0
CtCcC,5.4310511840096884e-05
CtCcL,3.242418617319217e-06
CtCcT,1.2159069814947063e-06
CtClC,2.0265116358245108e-05
CtClL,4.053023271649021e-07
CtClT,1.2159069814947063e-06
CtCtC,4.458325598813924e-05
CtCtL,1.6212093086596084e-06
CtCtT,0.0
CtLcC,4.053023271649021e-07
CtLcL,4.053023271649021e-07
CtLcT,0.0
CtLlC,0.0
CtLlL,0.0
CtLlT,0.0
CtLtC,4.053023271649021e-07
CtLtL,0.0
CtLtT,0.0
CtTcC,4.053023271649021e-07
CtTcL,0.0
CtTcT,4.053023271649021e-07
CtTlC,0.0
CtTlL,0.0
CtTlT,0.0
CtTtC,4.053023271649021e-07
CtTtL,0.0
CtTtT,0.0
LcCcC,8.349227939596983e-05
LcCcL,4.863627925978825e-06
LcCcT,2.4318139629894126e-06
LcClC,2.0265116358245107e-06
LcClL,0.0
LcClT,0.0
LcCtC,5.268930253143728e-06
LcCtL,4.053023271649021e-07
LcCtT,0.0
LcLcC,2.0265116358245107e-06
LcLcL,8.106046543298042e-07
LcLcT,0.0
LcLlC,0.0
LcLlL,0.0
LcLlT,0.0
LcLtC,0.0
LcLtL,4.053023271649021e-07
LcLtT,0.0
LcTcC,1.6212093086596084e-06
