,proportion
C,0.4423478799266149
L,0.24092524143048175
T,0.11920077340196877
Cc,0.030421368710921524
Cl,0.0430933182114049
Ct,0.014170958934327403
Lc,0.011704918516777237
Ll,0.014341414856570533
Lt,0.008243159272398314
Tc,0.009291518898743335
Tl,0.018623702118806106
Tt,0.004333256925259256
CcC,0.00616510104387541
CcL,0.00302364296057427
CcT,0.0005077469709954765
ClC,0.005822239540147801
ClL,0.002246564491524692
ClT,0.0001977511516219355
CtC,0.0036962753988376137
CtL,0.0031005152392329376
CtT,0.0009890342808584406
LcC,0.0009884772353609141
LcL,0.0026768821383639746
LcT,0.00028270058999473876
LlC,0.0004102640089283253
LlL,0.0027779858961650486
LlT,5.319784501378828e-05
LtC,0.00028938513596505765
LtL,0.0018273877546359418
LtT,0.000139539897130408
TcC,0.0002868784312261881
TcL,0.0010380542846407798
TcT,0.00016126467153394457
TlC,0.00027183820279297045
TlL,0.00103554757990191
TlT,0.00011586546348552839
TtC,0.00021000615256752022
TtL,0.0006804310752287161
TtT,0.00045622026247426803
CcCc,0.000321415252072836
CcCl,0.0002520630876307769
CcCt,1.476170568445434e-05
CcLc,0.00010862387201768287
CcLl,0.00011224466775160563
CcLt,3.620795733922762e-06
CcTc,4.289250330954657e-05
CcTl,2.701670663003907e-05
CcTt,1.392613743816447e-06
ClCc,3.1194547861488414e-05
ClCl,0.0002601402473449123
ClCt,7.798636965372104e-06
ClLc,7.520114216608814e-06
ClLl,0.00012477819144595366
ClLt,4.177841231449341e-06
ClTc,1.8661024167140392e-05
ClTl,5.4311936008841434e-05
ClTt,1.6711364925797365e-06
CtCc,3.5093866344174464e-05
CtCl,4.8184435536049064e-05
CtCt,5.570454975265788e-06
CtLc,2.451000189116947e-05
CtLl,6.071795923039709e-05
CtLt,3.342272985159473e-06
CtTc,2.785227487632894e-06
CtTl,4.4563639802126304e-05
CtTt,8.355682462898682e-07
LcCc,1.9775115162193546e-05
LcCl,1.7268410423323943e-05
LcCt,1.949659241343026e-06
LcLc,0.00012199296395832075
LcLl,2.1167728906009995e-05
LcLt,2.785227487632894e-06
LcTc,1.949659241343026e-06
LcTl,5.01340947773921e-06
LcTt,5.570454975265789e-07
LlCc,6.127500472792367e-06
LlCl,4.8184435536049064e-05
LlCt,1.6711364925797365e-06
LlLc,1.002681895547842e-05
LlLl,0.00022560342649826444
LlLt,4.456363980212631e-06
LlTc,1.392613743816447e-06
LlTl,3.899318482686052e-06
LlTt,8.355682462898682e-07
LtCc,2.506704738869605e-06
LtCl,6.684545970318946e-06
LtCt,8.355682462898682e-07
LtLc,3.342272985159473e-06
LtLl,3.0916025112725125e-05
LtLt,1.949659241343026e-06
LtTc,8.355682462898682e-07
LtTl,5.01340947773921e-06
LtTt,0.0
TcCc,1.2812046443111311e-05
TcCl,2.3674433644879602e-05
TcCt,2.2281819901063156e-06
TcLc,2.701670663003907e-05
TcLl,5.848977724029077e-05
TcLt,1.1140909950531578e-06
TcTc,1.392613743816447e-06
TcTl,1.6711364925797365e-06
TcTt,0.0
TlCc,4.456363980212631e-06
TlCl,1.921806966466697e-05
TlCt,8.355682462898682e-07
TlLc,2.506704738869605e-06
TlLl,4.344954880707315e-05
TlLt,1.392613743816447e-06
TlTc,5.570454975265789e-07
TlTl,4.512068529965288e-05
TlTt,0.0
TtCc,1.3369091940637892e-05
TtCl,2.2281819901063156e-06
TtCt,1.949659241343026e-06
TtLc,4.456363980212631e-06
TtLl,4.094284406820354e-05
TtLt,0.0
TtTc,1.6711364925797365e-06
TtTl,3.760057108304407e-05
TtTt,2.7852274876328944e-07
CcCcC,0.00025122751938448705
CcCcL,6.461727771308314e-05
CcCcT,1.2533523694348024e-05
CcClC,7.687227865866788e-05
CcClL,2.4788524639932755e-05
CcClT,3.342272985159473e-06
CcCtC,2.6738183881275783e-05
CcCtL,5.291932226502499e-06
