,proportion
C,0.5281416240778537
L,0.20966864619836395
T,0.12709219263163107
Cc,0.03387976751734269
Cl,0.01460443290405277
Ct,0.027360447141277503
Lc,0.012197981592830778
Ll,0.003457876959131244
Lt,0.013185111427738386
Tc,0.003379484203172019
Tl,0.0015774822997408915
Tt,0.003487789984431474
CcC,0.006793351194045453
CcL,0.0012518773002084974
CcT,0.0016940399500486863
ClC,0.0021172920666530973
ClL,0.000315633991098984
ClT,0.00079905598618087
CtC,0.0016851004252463185
CtL,0.0004315039856527504
CtT,0.0005085214301039186
LcC,0.0006807791964880045
LcL,0.0005367153160190784
LcT,0.0003603316151108226
LlC,0.00010555515824334212
LlL,0.00022176898067412273
LlT,0.00019632571777507607
LtC,0.0001619429300736617
LtL,0.00035448654120158224
LtT,0.00032526117165538
TcC,0.00027918823613548474
TcL,0.0001533472331483081
TcT,8.045572322130965e-05
TlC,4.7448247027951836e-05
TlL,1.4096942957579894e-05
TlT,0.00014440770834594038
TtC,0.00022383194793620758
TtL,3.747723859454167e-05
TtT,0.0004789522326807023
CcCc,0.00031838461411509716
CcCl,2.097350049786277e-05
CcCt,9.695946131798853e-05
CcLc,0.0002365535793857309
CcLl,2.0629672620848626e-06
CcLt,1.994201686682034e-05
CcTc,0.00012343420784807763
CcTl,2.0629672620848626e-06
CcTt,2.269263988293349e-05
ClCc,9.627180556396024e-06
ClCl,1.1346319941466745e-05
ClCt,1.547225446563647e-05
ClLc,3.782106647155581e-06
ClLl,8.595696925353593e-06
ClLt,1.0658664187438457e-05
ClTc,3.0944508931272936e-06
ClTl,5.501246032226299e-06
ClTt,1.0314836310424313e-06
CtCc,1.4440770834594038e-05
CtCl,2.406795139099006e-06
CtCt,3.128833680828709e-05
CtLc,6.876557540282875e-06
CtLl,3.438278770141437e-07
CtLt,4.125934524169725e-06
CtTc,2.7506230161131497e-06
CtTl,3.438278770141437e-07
CtTt,2.6130918653074925e-05
LcCc,2.7850058038145642e-05
LcCl,2.0629672620848626e-06
LcCt,3.4382787701414376e-06
LcLc,5.019887004406499e-05
LcLl,6.876557540282874e-07
LcLt,1.0314836310424313e-06
LcTc,2.6130918653074925e-05
LcTl,3.438278770141437e-07
LcTt,1.2033975695495033e-05
LlCc,1.3753115080565748e-06
LlCl,3.438278770141437e-07
LlCt,3.438278770141437e-07
LlLc,6.876557540282874e-07
LlLl,8.595696925353593e-06
LlLt,6.876557540282874e-07
LlTc,0.0
LlTl,3.438278770141437e-07
LlTt,0.0
LtCc,3.782106647155581e-06
LtCl,1.7191393850707188e-06
LtCt,2.406795139099006e-06
LtLc,3.4382787701414376e-06
LtLl,3.438278770141437e-07
LtLt,4.332231250378212e-05
LtTc,6.876557540282874e-07
LtTl,6.876557540282874e-07
LtTt,7.908041171325305e-06
TcCc,9.283352679381881e-06
TcCl,1.7191393850707188e-06
TcCt,7.220385417297019e-06
TcLc,6.532729663268731e-06
TcLl,3.438278770141437e-07
TcLt,1.0314836310424314e-05
TcTc,4.125934524169725e-06
TcTl,0.0
TcTt,3.438278770141437e-07
TlCc,3.438278770141437e-07
TlCl,6.876557540282874e-07
TlCt,0.0
TlLc,0.0
TlLl,0.0
TlLt,3.438278770141437e-07
TlTc,0.0
TlTl,0.0
TlTt,3.438278770141437e-07
TtCc,1.3753115080565748e-06
TtCl,3.438278770141437e-07
TtCt,3.0944508931272936e-06
TtLc,1.0314836310424313e-06
TtLl,0.0
TtLt,3.438278770141437e-07
TtTc,6.876557540282874e-07
TtTl,0.0
TtTt,2.7162402284117356e-05
CcCcC,0.0002963796299861919
CcCcL,2.6130918653074925e-05
CcCcT,2.4067951390990066e-05
CcClC,7.564213294311162e-06
CcClL,6.876557540282874e-07
CcClT,6.876557540282874e-07
CcCtC,2.8881541669188077e-05
CcCtL,9.627180556396024e-06
CcCtT,1.0314836310424313e-06
CcLcC,9.97100843341017e-06
CcLcL,9.627180556396024e-06
CcLcT,7.908041171325305e-06
CcLlC,0.0
CcLlL,0.0
CcLlT,3.438278770141437e-07
CcLtC,6.876557540282874e-07
CcLtL,6.876557540282874e-07
CcLtT,6.876557540282874e-07
CcTcC,1.272163144952332e-05
CcTcL,2.7506230161131497e-06
CcTcT,1.0658664187438457e-05
CcTlC,0.0
CcTlL,0.0
CcTlT,0.0
CcTtC,0.0
CcTtL,0.0
CcTtT,1.0314836310424313e-06
ClCcC,5.845073909240443e-06
ClCcL,2.0629672620848626e-06
ClCcT,1.3753115080565748e-06
ClClC,3.197599256231537e-05
ClClL,1.7191393850707188e-06
ClClT,2.0629672620848626e-06
ClCtC,6.876557540282875e-06
ClCtL,0.0
ClCtT,6.876557540282874e-07
ClLcC,6.876557540282874e-07
ClLcL,0.0
ClLcT,0.0
ClLlC,3.438278770141437e-07
ClLlL,0.0
ClLlT,0.0
ClLtC,3.438278770141437e-07
ClLtL,0.0
ClLtT,6.876557540282874e-07
ClTcC,1.7191393850707188e-06
