,proportion
C,0.5759055303165137
L,0.18637648373381746
T,0.049714574727682904
Cc,0.0413538510593411
Cl,0.041453837521655136
Ct,0.015711618426920888
Lc,0.010234009553345696
Ll,0.011925876702604525
Lt,0.008179304932596753
Tc,0.002615453440324574
Tl,0.0011596368051885757
Tt,0.0017980383412005382
CcC,0.01159602445579533
CcL,0.0020804743275309114
CcT,0.0011056922189916552
ClC,0.017569442487855594
ClL,0.0026927625606704792
ClT,0.001984611018301989
CtC,0.0032576345333312252
CtL,0.0002140603643355504
CtT,0.0005116145786446783
LcC,0.0011929656259599215
LcL,0.0012685567658536952
LcT,0.00012197661210131684
LlC,0.0014262673713593417
LlL,0.001820372087078244
LlT,0.0007291109038844911
LtC,0.00024051726329837124
LtL,0.00011098153720767701
LtT,0.000224711843138764
TcC,0.0001408743970747603
TcL,0.0002054704620748943
TcT,2.7831283324525816e-05
TlC,0.00019584977154295943
TlL,0.00011441749811193947
TlT,0.0001525566641492526
TtC,0.0001501514915162689
TtL,1.0995074893639827e-05
TtT,0.00015049508760669515
CcCc,0.0006215653275810766
CcCl,0.0001346896674470879
CcCt,9.139656005338108e-05
CcLc,0.00023055297667601017
CcLl,2.645689896282084e-05
CcLt,1.9928573244722188e-05
CcTc,6.665764154269146e-05
CcTl,1.7179804521312231e-06
CcTt,2.9205667686230793e-05
ClCc,0.000112355921569382
ClCl,0.00016526971949502365
ClCt,0.00011613547856407068
ClLc,1.92413810638697e-05
ClLl,7.593473598420007e-05
ClLt,3.1267244228788266e-05
ClTc,1.1338670984066073e-05
ClTl,1.8897784973443453e-05
ClTt,1.2369459255344806e-05
CtCc,2.027216933514843e-05
CtCl,9.964286622361094e-06
CtCt,1.7179804521312233e-05
CtLc,2.7487687234099567e-06
CtLl,1.7179804521312231e-06
CtLt,1.0307882712787338e-06
CtTc,3.435960904262446e-07
CtTl,3.435960904262446e-07
CtTt,6.871921808524892e-07
LcCc,4.9477837021379224e-05
LcCl,1.9928573244722188e-05
LcCt,3.4359609042624462e-06
LcLc,0.00013572045571836662
LcLl,2.7144091143673324e-05
LcLt,3.4359609042624462e-06
LcTc,1.3743843617049785e-05
LcTl,6.871921808524892e-07
LcTt,1.3743843617049784e-06
LlCc,3.5733993404329444e-05
LlCl,1.7523400611738476e-05
LlCt,9.62069053193485e-06
LlLc,2.027216933514843e-05
LlLl,6.975000635652766e-05
LlLt,5.944212364374032e-05
LlTc,1.3743843617049784e-06
LlTl,2.0615765425574677e-06
LlTt,1.3743843617049784e-06
LtCc,3.0923648138362015e-06
LtCl,1.7179804521312231e-06
LtCt,1.3743843617049784e-06
LtLc,1.0307882712787338e-06
LtLl,0.0
LtLt,0.0
LtTc,1.0307882712787338e-06
LtTl,0.0
LtTt,3.435960904262446e-07
TcCc,4.123153085114935e-06
TcCl,1.0307882712787338e-06
TcCt,6.871921808524892e-07
TcLc,1.7179804521312231e-06
TcLl,1.5118227978754762e-05
TcLt,1.0307882712787338e-06
TcTc,1.3743843617049784e-06
TcTl,0.0
TcTt,6.871921808524892e-07
TlCc,2.4051726329837124e-06
TlCl,1.1338670984066073e-05
TlCt,1.7179804521312231e-06
TlLc,3.435960904262446e-07
TlLl,1.0307882712787338e-06
TlLt,1.3743843617049784e-06
TlTc,3.435960904262446e-07
TlTl,0.0
TlTt,0.0
TtCc,3.435960904262446e-07
TtCl,6.871921808524892e-07
TtCt,3.435960904262446e-07
TtLc,0.0
TtLl,0.0
TtLt,0.0
TtTc,3.435960904262446e-07
TtTl,0.0
TtTt,0.0
CcCcC,0.0005085222138308421
CcCcL,5.738054710118285e-05
CcCcT,1.5461824069181007e-05
CcClC,0.0001494642993354164
CcClL,3.4016012952198214e-05
CcClT,8.24630617022987e-06
CcCtC,3.195443640964075e-05
CcCtL,3.0923648138362015e-06
CcCtT,3.4359609042624462e-06
CcLcC,2.748768723409957e-05
CcLcL,2.5082514601115858e-05
CcLcT,1.8897784973443453e-05
CcLlC,4.123153085114935e-06
CcLlL,2.7487687234099567e-06
CcLlT,6.871921808524892e-07
CcLtC,6.8719218085248925e-06
CcLtL,1.7179804521312231e-06
CcLtT,1.0307882712787338e-06
CcTcC,1.2713055345771052e-05
CcTcL,1.0307882712787338e-06
CcTcT,3.4359609042624462e-06
CcTlC,2.4051726329837124e-06
CcTlL,6.871921808524892e-07
CcTlT,0.0
CcTtC,6.871921808524892e-07
CcTtL,0.0
CcTtT,0.0
ClCcC,6.0816508005445295e-05
ClCcL,1.5118227978754762e-05
ClCcT,4.123153085114935e-06
ClClC,0.00026113302872394595
ClClL,5.703695101075661e-05
ClClT,4.1918723032001845e-05
ClCtC,0.00010960715284597204
ClCtL,5.8411335372461595e-06
ClCtT,1.2369459255344806e-05
ClLcC,4.810345265967425e-06
ClLcL,1.7179804521312231e-06
ClLcT,3.0923648138362015e-06
ClLlC,2.748768723409957e-05
ClLlL,9.277094441508605e-06
ClLlT,1.7179804521312231e-06
ClLtC,9.964286622361094e-06
ClLtL,1.0307882712787338e-06
ClLtT,3.435960904262446e-07
ClTcC,1.7179804521312231e-06
ClTcL,0.0
ClTcT,3.435960904262446e-07
ClTlC,3.4359609042624462e-06
ClTlL,1.0307882712787338e-06
ClTlT,6.871921808524892e-07
ClTtC,6.184729627672403e-06
ClTtL,0.0
ClTtT,2.4051726329837124e-06
CtCcC,8.24630617022987e-06
CtCcL,1.3743843617049784e-06
CtCcT,3.435960904262446e-07
CtClC,7.559113989377381e-06
CtClL,2.4051726329837124e-06
CtClT,2.4051726329837124e-06
CtCtC,1.7179804521312231e-06
CtCtL,0.0
CtCtT,0.0
CtLcC,0.0
CtLcL,6.871921808524892e-07
CtLcT,3.435960904262446e-07
CtLlC,1.0307882712787338e-06
CtLlL,3.435960904262446e-07
CtLlT,0.0
CtLtC,0.0
CtLtL,0.0
CtLtT,0.0
CtTcC,6.871921808524892e-07
CtTcL,3.435960904262446e-07
CtTcT,0.0
CtTlC,0.0
CtTlL,0.0
CtTlT,0.0
CtTtC,3.435960904262446e-07
CtTtL,3.435960904262446e-07
CtTtT,0.0
LcCcC,5.360099010649416e-05
LcCcL,1.0995074893639827e-05
LcCcT,1.0307882712787338e-06
LcClC,3.092364813836201e-05
LcClL,1.7179804521312231e-06
LcClT,1.0307882712787338e-06
LcCtC,1.7179804521312231e-06
LcCtL,0.0
LcCtT,0.0
LcLcC,6.184729627672403e-06
LcLcL,1.7866996702164722e-05
LcLcT,6.184729627672403e-06
LcLlC,4.123153085114935e-06
LcLlL,1.0307882712787338e-06
LcLlT,5.15394135639367e-06
LcLtC,1.0307882712787338e-06
LcLtL,0.0
LcLtT,0.0
LcTcC,6.871921808524892e-07
LcTcL,0.0
LcTcT,0.0
LcTlC,0.0
LcTlL,0.0
LcTlT,3.435960904262446e-07
LcTtC,0.0
LcTtL,0.0
LcTtT,0.0
LlCcC,2.0959361516000923e-05
LlCcL,2.7487687234099567e-06
LlCcT,1.3743843617049784e-06
LlClC,5.428818228734665e-05
LlClL,4.810345265967425e-06
LlClT,2.0615765425574677e-06
LlCtC,4.4667491755411805e-06
LlCtL,3.435960904262446e-07
LlCtT,3.435960904262446e-07
LlLcC,3.0923648138362015e-06
LlLcL,3.435960904262446e-07
LlLcT,6.528325718098647e-06
LlLlC,4.810345265967425e-06
LlLlL,7.215517898951137e-06
LlLlT,6.871921808524892e-07
LlLtC,1.3743843617049784e-06
LlLtL,5.8411335372461595e-06
LlLtT,3.435960904262446e-07
LlTcC,1.0307882712787338e-06
LlTcL,0.0
LlTcT,0.0
LlTlC,6.871921808524892e-07
LlTlL,3.435960904262446e-07
LlTlT,0.0
LlTtC,1.7179804521312231e-06
LlTtL,0.0
LlTtT,1.408743970747603e-05
LtCcC,2.4051726329837124e-06
LtCcL,0.0
LtCcT,0.0
LtClC,1.0307882712787338e-06
LtClL,3.435960904262446e-07
LtClT,0.0
LtCtC,3.435960904262446e-07
LtCtL,0.0
LtCtT,0.0
LtLcC,6.871921808524892e-07
LtLcL,0.0
LtLcT,0.0
LtLlC,3.435960904262446e-07
LtLlL,0.0
LtLlT,0.0
LtLtC,0.0
LtLtL,0.0
LtLtT,0.0
LtTcC,0.0
LtTcL,0.0
LtTcT,0.0
LtTlC,3.435960904262446e-07
LtTlL,0.0
LtTlT,0.0
LtTtC,0.0
LtTtL,0.0
LtTtT,0.0
TcCcC,8.24630617022987e-06
TcCcL,1.0307882712787338e-06
TcCcT,0.0
TcClC,1.0307882712787338e-06
TcClL,6.871921808524892e-07
TcClT,0.0
TcCtC,0.0
TcCtL,0.0
TcCtT,0.0
TcLcC,3.435960904262446e-07
TcLcL,3.435960904262446e-07
TcLcT,0.0
TcLlC,3.435960904262446e-07
TcLlL,0.0
TcLlT,0.0
TcLtC,6.871921808524892e-07
TcLtL,0.0
TcLtT,0.0
TcTcC,0.0
TcTcL,0.0
TcTcT,0.0
TcTlC,0.0
TcTlL,0.0
TcTlT,0.0
TcTtC,0.0
TcTtL,0.0
TcTtT,0.0
TlCcC,8.24630617022987e-06
TlCcL,3.435960904262446e-07
TlCcT,0.0
TlClC,2.4051726329837124e-06
TlClL,1.3743843617049784e-06
TlClT,0.0
TlCtC,3.435960904262446e-07
TlCtL,0.0
TlCtT,0.0
TlLcC,0.0
TlLcL,0.0
TlLcT,0.0
TlLlC,3.435960904262446e-07
TlLlL,3.435960904262446e-07
TlLlT,3.435960904262446e-07
TlLtC,0.0
