,proportion
C,0.5762029010793792
L,0.19358637809201293
T,0.06475878532171211
Cc,0.025612454497148888
Cl,0.04558215891697267
Ct,0.012217366822374318
Lc,0.008224219016424648
Ll,0.012653559730670708
Lt,0.0019509719171074862
Tc,0.004853637452316185
Tl,0.010861203416580091
Tt,0.001161859292098564
CcC,0.009624001713048514
CcL,0.0032754122022983405
CcT,0.00026171574497783353
ClC,0.00832335376831019
ClL,0.00239906099563014
ClT,0.0001586156030168688
CtC,0.004096247947910637
CtL,0.0021175183002751985
CtT,0.0003648158869387982
LcC,0.0008961781570453087
LcL,0.0015742598599424228
LcT,3.172312060337376e-05
LlC,0.00048774297927687155
LlL,0.0013640941859450716
LlT,2.775773052795204e-05
LtC,0.0003132658159583159
LtL,0.001031001419609647
LtT,7.93078015084344e-06
TcC,0.00030930042588289415
TcL,0.00034498893656168965
TcT,0.00013482326256433847
TlC,0.00026568113505325523
TlL,0.0004282621281455457
TlT,7.534241143301268e-05
TtC,0.00015465021294144707
TtL,0.0006463585822937404
TtT,3.172312060337376e-05
CcCc,0.0005194660998802452
CcCl,0.00022206184422361632
CcCt,1.189617022626516e-05
CcLc,0.00019033872362024255
CcLl,5.155007098048236e-05
CcLt,3.96539007542172e-06
CcTc,7.137702135759095e-05
CcTl,3.96539007542172e-06
CcTt,0.0
ClCc,1.98269503771086e-05
ClCl,0.0004401582983718109
ClCt,3.96539007542172e-06
ClLc,7.93078015084344e-06
ClLl,5.551546105590408e-05
ClLt,0.0
ClTc,3.96539007542172e-06
ClTl,1.98269503771086e-05
ClTt,0.0
CtCc,1.98269503771086e-05
CtCl,0.00018637333354482084
CtCt,7.93078015084344e-06
CtLc,5.155007098048236e-05
CtLl,4.758468090506064e-05
CtLt,0.0
CtTc,0.0
CtTl,2.379234045253032e-05
CtTt,0.0
LcCc,1.586156030168688e-05
LcCl,1.586156030168688e-05
LcCt,0.0
LcLc,0.00011499631218722988
LcLl,2.379234045253032e-05
LcLt,3.96539007542172e-06
LcTc,0.0
LcTl,0.0
LcTt,0.0
LlCc,0.0
LlCl,7.93078015084344e-06
LlCt,1.189617022626516e-05
LlLc,3.96539007542172e-06
LlLl,4.758468090506064e-05
LlLt,3.96539007542172e-06
LlTc,0.0
LlTl,0.0
LlTt,0.0
LtCc,0.0
LtCl,0.0
LtCt,0.0
LtLc,3.96539007542172e-06
LtLl,3.96539007542172e-06
LtLt,0.0
LtTc,0.0
LtTl,3.172312060337376e-05
LtTt,0.0
TcCc,0.0
TcCl,0.0
TcCt,0.0
TcLc,7.93078015084344e-06
TcLl,7.93078015084344e-06
TcLt,3.96539007542172e-06
TcTc,7.137702135759095e-05
TcTl,3.96539007542172e-06
TcTt,0.0
TlCc,0.0
TlCl,0.0
TlCt,0.0
TlLc,3.96539007542172e-06
TlLl,1.98269503771086e-05
TlLt,0.0
TlTc,0.0
TlTl,0.0
TlTt,0.0
TtCc,1.189617022626516e-05
TtCl,0.0
TtCt,0.0
TtLc,0.0
TtLl,7.93078015084344e-06
TtLt,0.0
TtTc,3.96539007542172e-06
TtTl,0.0
TtTt,0.0
CcCcC,0.0004560198586734978
CcCcL,7.534241143301268e-05
CcCcT,0.0
CcClC,3.5688510678795476e-05
CcClL,3.5688510678795476e-05
CcClT,0.0
CcCtC,3.96539007542172e-06
CcCtL,3.96539007542172e-06
CcCtT,0.0
CcLcC,1.98269503771086e-05
CcLcL,2.775773052795204e-05
CcLcT,0.0
CcLlC,1.98269503771086e-05
CcLlL,2.379234045253032e-05
CcLlT,0.0
CcLtC,0.0
CcLtL,0.0
CcLtT,0.0
CcTcC,3.96539007542172e-06
CcTcL,7.93078015084344e-06
CcTcT,0.0
CcTlC,0.0
CcTlL,3.96539007542172e-06
CcTlT,0.0
CcTtC,0.0
CcTtL,0.0
CcTtT,0.0
ClCcC,2.379234045253032e-05
ClCcL,3.96539007542172e-06
ClCcT,0.0
ClClC,0.00012292709233807333
ClClL,1.189617022626516e-05
ClClT,3.96539007542172e-06
