,proportion
C,0.5275650363105578
L,0.2256268396545069
T,0.054287525936112725
Cc,0.029202630404362096
Cl,0.05981289808917198
Ct,0.008592091295116774
Lc,0.008229061112719553
Ll,0.024726766068326578
Lt,0.0020036401032619187
Tc,0.0037516888631538314
Tl,0.010570850825130285
Tt,0.0008843912854661262
CcC,0.006162842597954063
CcL,0.0023195479878401854
CcT,0.00037509349063887285
ClC,0.01210439888535032
ClL,0.0030829292125072382
ClT,0.0004957265730553947
CtC,0.0025664688284115036
CtL,0.0018015796902142445
CtT,0.00017944171009457634
LcC,0.001086074720131249
LcL,0.0021883595107122177
LcT,3.882877340281799e-05
LlC,0.0011976603213665318
LlL,0.003764883106543139
LlT,0.00021450069967187803
LtC,0.0004112834153638294
LtL,0.00040713665315576146
LtT,7.162589268480989e-06
TcC,6.93640223895001e-05
TcL,4.2598557228334304e-05
TcT,5.654675738274465e-06
TlC,0.00015267624493341055
TlL,0.00037735536093418267
TlT,4.146762208067941e-06
TtC,2.1110789422891334e-05
TtL,1.2440286624203822e-05
TtT,2.261870295309786e-06
CcCc,0.0004587826915653349
CcCl,0.0002212863105578074
CcCt,7.916546033584252e-06
CcLc,0.00022957983497394328
CcLl,0.00012101006079907355
CcLt,3.015827060413048e-06
CcTc,6.031654120826096e-06
CcTl,0.00010970070932252461
CcTt,1.507913530206524e-06
ClCc,8.331222254391044e-05
ClCl,0.00046669923759891916
ClCt,6.107049797336421e-05
ClLc,2.18647461879946e-05
ClLl,0.00043729492375989195
ClLt,5.654675738274465e-06
ClTc,1.507913530206524e-06
ClTl,0.00010366905520169852
ClTt,3.3928054429646786e-06
CtCc,5.2776973557228335e-06
CtCl,5.8431649295502804e-05
CtCt,2.6388486778614167e-06
CtLc,4.146762208067941e-06
CtLl,6.031654120826096e-06
CtLt,0.0
CtTc,1.130935147654893e-06
CtTl,2.261870295309786e-06
CtTt,0.0
LcCc,1.847194074502992e-05
LcCl,1.545611368461687e-05
LcCt,1.507913530206524e-06
LcLc,0.0003856488853503185
LcLl,6.484028179888053e-05
LcLt,7.53956765103262e-07
LcTc,4.599136267129898e-05
LcTl,3.7697838255163098e-06
LcTt,1.130935147654893e-06
LlCc,9.801437946342406e-06
LlCl,0.00011120862285273114
LlCt,3.7697838255163098e-06
LlLc,3.053524898668211e-05
LlLl,0.00029253522486006564
LlLt,3.694388149005984e-05
LlTc,1.130935147654893e-06
LlTl,5.654675738274465e-06
LlTt,4.523740590619572e-05
LtCc,1.507913530206524e-06
LtCl,2.6388486778614167e-06
LtCt,0.0
LtLc,3.3928054429646786e-06
LtLl,3.76978382551631e-07
LtLt,0.0
LtTc,3.76978382551631e-07
LtTl,0.0
LtTt,0.0
TcCc,5.089208164447018e-05
TcCl,2.261870295309786e-06
TcCt,7.53956765103262e-07
TcLc,2.261870295309786e-06
TcLl,1.507913530206524e-06
TcLt,0.0
TcTc,0.0
TcTl,7.53956765103262e-07
TcTt,3.76978382551631e-07
TlCc,1.130935147654893e-06
TlCl,3.015827060413048e-06
TlCt,1.507913530206524e-06
TlLc,2.6388486778614167e-06
TlLl,6.031654120826096e-06
TlLt,0.0
TlTc,7.53956765103262e-07
TlTl,3.76978382551631e-07
TlTt,3.76978382551631e-07
TtCc,0.0
TtCl,3.76978382551631e-07
TtCt,0.0
TtLc,0.0
TtLl,0.0
TtLt,0.0
TtTc,0.0
TtTl,0.0
TtTt,0.0
CcCcC,0.00038037118799459565
CcCcL,3.2420140899440266e-05
CcCcT,4.523740590619572e-06
CcClC,5.315395193977997e-05
CcClL,8.293524416135883e-06
CcClT,2.6388486778614167e-06
CcCtC,4.0336686933024516e-05
CcCtL,5.654675738274465e-06
CcCtT,1.130935147654893e-06
CcLcC,9.047481181239144e-06
CcLcL,9.98992713761822e-05
CcLcT,1.168632985910056e-05
CcLlC,2.18647461879946e-05
CcLlL,6.031654120826096e-06
CcLlT,3.76978382551631e-07
CcLtC,3.76978382551631e-07
CcLtL,1.130935147654893e-06
CcLtT,0.0
CcTcC,0.0
