,proportion
C,0.43526528740127984
L,0.2198612668048066
T,0.14564593664955922
Cc,0.02277831496255203
Cl,0.04509725780167576
Ct,0.0217505313908388
Lc,0.011570831066077479
Ll,0.013766742372787162
Lt,0.006176901883249836
Tc,0.00740482537703864
Tl,0.020705512571003067
Tt,0.0058796817880760925
CcC,0.003966569246478469
CcL,0.0020583810614872755
CcT,0.0010105483235907282
ClC,0.005651402685392354
ClL,0.0022388235571371338
ClT,0.0003513880178444614
CtC,0.005561357307446225
CtL,0.002740404451477676
CtT,0.001295809267006002
LcC,0.0005385135688887591
LcL,0.0017544779109190925
LcT,0.00022265126656210616
LlC,0.000432639901850538
LlL,0.002702064817899051
LlT,8.37140623092911e-05
LtC,0.0007882487967862241
LtL,0.002937378715734832
LtT,0.0005022843738557466
TcC,0.0005874053951954459
TcL,0.0005001739353101342
TcT,0.0005670044892545263
TlC,0.0005145952653718189
TlL,0.0007020725561737187
TlT,0.0005905710530138645
TtC,0.00037636154063420784
TtL,0.0008026701268479087
TtT,0.0009384416732823053
CcCc,0.00014210286207123364
CcCl,8.863841891571998e-05
CcCt,1.82904673953073e-05
CcLc,0.00010622540679582316
CcLl,1.4421330061684603e-05
CcLt,4.572616848826825e-06
CcTc,7.949318521806634e-05
CcTl,3.095309866898158e-05
CcTt,2.0752645698521744e-05
ClCc,2.3214824001736186e-05
ClCl,0.00011150150315985412
ClCt,1.0200452970459841e-05
ClLc,1.3014371031276347e-05
ClLl,8.37140623092911e-05
ClLt,2.8139180608165073e-06
ClTc,3.5173975760206347e-06
ClTl,6.0499238307554914e-05
ClTt,3.869137333622698e-06
CtCc,2.2863084244134124e-05
CtCl,8.37140623092911e-05
CtCt,4.009833236663523e-05
CtLc,1.1959151758470157e-05
CtLl,5.6278361216330154e-05
CtLt,5.627836121633015e-06
CtTc,6.683055394439205e-06
CtTl,8.301058279408698e-05
CtTt,3.165657818418571e-05
LcCc,2.954613963857333e-05
LcCl,4.572616848826825e-06
LcCt,4.220877091224762e-06
LcLc,0.00010833584534143554
LcLl,7.386534909643332e-06
LcLt,5.627836121633015e-06
LcTc,8.793493940051587e-06
LcTl,6.683055394439205e-06
LcTt,2.4621783032144443e-06
LlCc,2.4621783032144443e-06
LlCl,1.0200452970459841e-05
LlCt,2.4621783032144443e-06
LlLc,4.572616848826825e-06
LlLl,0.00012486761394873253
LlLt,1.0552192728061904e-06
LlTc,1.4069590304082537e-06
