,proportion
C,0.5707146133873364
L,0.2185002358322942
T,0.05799720693337715
Cc,0.024973763080385125
Cl,0.03631678876718323
Ct,0.011689620702291036
Lc,0.011434866443233646
Ll,0.009318375443166264
Lt,0.007100351948547024
Tc,0.001170392755379607
Tl,0.0014403768886197767
Tt,0.0010522458526283534
CcC,0.008501038862023802
CcL,0.0017592812237803874
CcT,0.00033690327737662194
ClC,0.01766942312005664
ClL,0.004411125376939387
ClT,0.0014989888286565316
CtC,0.002290480774822157
CtL,0.00033782630005436607
CtT,0.00029813632491136675
LcC,0.001027785751668133
LcL,0.0007088814165075222
LcT,0.00021691032926987987
LlC,0.001555754723337798
LlL,0.002791220577498369
LlT,0.00022337148801408906
LtC,0.0003498255948650403
LtL,0.00033274967532677315
LtT,9.276377911328905e-05
TcC,7.799541626938233e-05
TcL,2.2614055604732157e-05
TcT,8.630262036907987e-05
TlC,0.0002824449393897159
TlL,5.307380397028975e-05
TlT,1.615289686052297e-05
TtC,2.169103292698799e-05
TtL,6.922670083081272e-06
TtT,8.630262036907987e-05
CcCc,0.0003175198011439944
CcCl,7.29187915417894e-05
CcCt,3.415183907653427e-05
CcLc,0.00016891315002718303
CcLl,2.7229168993453007e-05
CcLt,7.3841814219533566e-06
CcTc,3.692090710976678e-05
CcTl,9.230226777441696e-07
CcTt,1.3845340166162544e-06
ClCc,6.96882121696848e-05
ClCl,0.00011122423266817244
ClCt,5.907345137562685e-05
ClLc,1.9383476232627563e-05
ClLl,6.0919496731115195e-05
ClLt,6.922670083081273e-05
ClTc,2.030649891037173e-05
ClTl,9.230226777441696e-07
ClTt,9.230226777441696e-07
CtCc,5.999647405337102e-06
CtCl,6.922670083081272e-06
CtCt,5.722740602013852e-05
CtLc,9.230226777441696e-07
CtLl,1.3845340166162544e-06
CtLt,1.8460453554883391e-06
CtTc,2.7690680332325087e-06
CtTl,4.615113388720848e-07
CtTt,4.107450915961555e-05
LcCc,3.8305441126383035e-05
LcCl,3.6920907109766783e-06
LcCt,1.3845340166162544e-06
LcLc,0.00015968292324974135
LcLl,2.9536725687813426e-05
LcLt,2.7690680332325087e-06
LcTc,4.199753183735971e-05
LcTl,0.0
LcTt,4.615113388720848e-07
LlCc,5.953496271449894e-05
LlCl,9.691738116313781e-06
LlCt,5.076624727592933e-06
LlLc,3.507486175427845e-05
LlLl,3.138277104330177e-05
LlLt,7.01497235085569e-05
LlTc,0.0
LlTl,0.0
LlTt,4.615113388720848e-07
LtCc,1.8460453554883391e-06
LtCl,4.615113388720848e-07
LtCt,9.230226777441696e-07
LtLc,1.8460453554883391e-06
LtLl,4.615113388720848e-07
LtLt,4.615113388720848e-07
LtTc,0.0
LtTl,4.615113388720848e-07
LtTt,1.338382882729046e-05
TcCc,2.7690680332325087e-06
TcCl,4.615113388720848e-07
TcCt,4.615113388720848e-07
TcLc,9.230226777441696e-07
TcLl,4.615113388720848e-07
TcLt,0.0
TcTc,2.9536725687813426e-05
TcTl,0.0
TcTt,0.0
TlCc,1.3845340166162544e-06
TlCl,9.230226777441696e-07
TlCt,1.3845340166162544e-06
TlLc,4.615113388720848e-07
TlLl,4.615113388720848e-07
TlLt,0.0
TlTc,0.0
TlTl,0.0
TlTt,0.0
TtCc,0.0
TtCl,0.0
TtCt,4.615113388720848e-07
TtLc,4.615113388720848e-07
TtLl,0.0
TtLt,0.0
TtTc,0.0
TtTl,0.0
TtTt,9.230226777441696e-07
CcCcC,0.00028429098474520425
CcCcL,1.9383476232627563e-05
CcCcT,6.461158744209187e-06
CcClC,5.445833798690601e-05
CcClL,1.0153249455185865e-05
CcClT,2.307556694360424e-06
CcCtC,3.0921259704429685e-05
CcCtL,1.3845340166162544e-06
CcCtT,4.615113388720848e-07
CcLcC,1.338382882729046e-05
CcLcL,6.045798539224311e-05
CcLcT,1.5691385521650884e-05
CcLlC,1.153778347180212e-05
CcLlL,4.153602049848763e-06
CcLlT,0.0
CcLtC,4.615113388720848e-07
CcLtL,1.3845340166162544e-06
CcLtT,0.0
CcTcC,4.615113388720848e-07
CcTcL,0.0
CcTcT,1.5691385521650884e-05
CcTlC,4.615113388720848e-07
CcTlL,0.0
CcTlT,0.0
CcTtC,0.0
CcTtL,4.615113388720848e-07
CcTtT,0.0
ClCcC,8.584110903020778e-05
ClCcL,8.307204099697526e-06
ClCcT,3.2305793721045935e-06
ClClC,0.00032259642587158726
ClClL,2.5383123637964667e-05
ClClT,1.338382882729046e-05
ClCtC,5.76889173590106e-05
ClCtL,2.307556694360424e-06
ClCtT,4.615113388720848e-07
ClLcC,4.153602049848763e-06
ClLcL,2.9075214348941346e-05
ClLcT,4.615113388720848e-07
ClLlC,2.307556694360424e-05
ClLlL,6.507309878096396e-05
ClLlT,2.7229168993453007e-05
ClLtC,4.615113388720848e-07
ClLtL,4.615113388720848e-07
ClLtT,0.0
ClTcC,1.3845340166162544e-06
ClTcL,1.8460453554883391e-06
ClTcT,0.0
ClTlC,1.5691385521650884e-05
ClTlL,1.3845340166162544e-06
ClTlT,4.615113388720848e-07
ClTtC,0.0
ClTtL,0.0
ClTtT,0.0
CtCcC,2.7690680332325087e-06
CtCcL,4.615113388720848e-07
CtCcT,0.0
CtClC,1.8460453554883391e-06
CtClL,9.230226777441696e-07
CtClT,4.615113388720848e-07
CtCtC,1.5229874182778799e-05
CtCtL,4.615113388720848e-07
CtCtT,0.0
CtLcC,0.0
CtLcL,4.615113388720848e-07
CtLcT,0.0
CtLlC,4.615113388720848e-07
CtLlL,4.615113388720848e-07
CtLlT,4.615113388720848e-07
CtLtC,0.0
CtLtL,4.615113388720848e-07
CtLtT,0.0
CtTcC,4.615113388720848e-07
CtTcL,0.0
CtTcT,0.0
CtTlC,9.230226777441696e-07
CtTlL,0.0
CtTlT,0.0
CtTtC,0.0
CtTtL,0.0
CtTtT,0.0
LcCcC,1.5691385521650884e-05
LcCcL,1.8460453554883391e-06
LcCcT,0.0
LcClC,6.461158744209187e-06
LcClL,4.615113388720848e-07
LcClT,9.230226777441696e-07
LcCtC,9.230226777441696e-07
LcCtL,0.0
LcCtT,0.0
LcLcC,2.030649891037173e-05
LcLcL,5.999647405337102e-06
LcLcT,4.615113388720848e-07
LcLlC,9.230226777441696e-07
LcLlL,4.615113388720848e-07
LcLlT,0.0
LcLtC,0.0
LcLtL,4.615113388720848e-07
LcLtT,0.0
LcTcC,4.615113388720848e-07
LcTcL,0.0
LcTcT,0.0
LcTlC,0.0
LcTlL,0.0
LcTlT,0.0
LcTtC,0.0
LcTtL,0.0
LcTtT,0.0
LlCcC,4.153602049848763e-06
LlCcL,1.8460453554883391e-06
LlCcT,8.768715438569612e-06
LlClC,5.861194003675477e-05
LlClL,2.307556694360424e-06
LlClT,9.230226777441696e-07
LlCtC,4.153602049848763e-06
LlCtL,4.615113388720848e-07
LlCtT,0.0
LlLcC,2.7690680332325087e-06
LlLcL,1.3845340166162544e-06
LlLcT,0.0
LlLlC,5.538136066465017e-06
LlLlL,3.415183907653427e-05
LlLlT,9.230226777441696e-07
LlLtC,4.615113388720848e-07
LlLtL,5.076624727592933e-06
LlLtT,4.615113388720848e-07
LlTcC,4.615113388720848e-07
LlTcL,0.0
LlTcT,0.0
LlTlC,0.0
LlTlL,0.0
LlTlT,0.0
LlTtC,4.615113388720848e-07
LlTtL,0.0
LlTtT,0.0
LtCcC,0.0
