,proportion
C,0.4888899550915442
L,0.20909172328202766
T,0.15550288514438518
Cc,0.030862088818945997
Cl,0.011824613928018526
Ct,0.02751730446909505
Lc,0.009066454279097736
Ll,0.00384952468685628
Lt,0.013048081474942106
Tc,0.006139727990378588
Tl,0.002717537327754961
Tt,0.010017080566537443
CcC,0.008256886602950396
CcL,0.0011300681943218311
CcT,0.0013232641154569532
ClC,0.0018993334100999245
ClL,0.0003038677567522614
ClT,0.000753272175949027
CtC,0.003915096150155453
CtL,0.0009167210430020855
CtT,0.0017675507619084178
LcC,0.000968858352844842
LcL,0.000564874166762625
LcT,0.0003150628846326079
LlC,0.0002552489156718996
LlL,0.00014073875049578423
LlT,5.821466497780166e-05
LtC,0.00038095420872836144
LtL,0.0008856945457336968
LtT,0.0007145690195626864
TcC,0.0005568776468480917
TcL,0.00023733671106334524
TcT,0.0006528358858224902
TlC,0.000213667012116327
TlL,2.3349838150436933e-05
TlT,0.0005101779705472179
TtC,0.00039023017182921994
TtL,0.00014745582722399214
TtT,0.0015663583208587624
CcCc,0.0004487646976036029
CcCl,1.2794431863253114e-05
CcCt,0.0001404188896992029
CcLc,0.00011067183561713943
CcLl,9.595823897439836e-07
CcLt,3.5824409217108714e-05
CcTc,9.563837817781703e-05
CcTl,2.558886372650623e-06
CcTt,5.6935221791476355e-05
ClCc,1.2474571066671784e-05
ClCl,1.1834849473509129e-05
ClCt,8.316380711114523e-06
ClLc,1.5993039829066392e-06
ClLl,9.595823897439836e-07
ClLt,2.558886372650623e-06
ClTc,3.1986079658132784e-06
ClTl,3.646413081027137e-05
ClTt,3.5184687623946062e-06
CtCc,3.518468762394606e-05
CtCl,1.887178699829834e-05
CtCt,4.318120753847926e-05
CtLc,7.0369375247892124e-06
CtLl,1.5993039829066392e-06
CtLt,1.9191647794879668e-05
CtTc,5.757494338463901e-06
CtTl,1.5993039829066392e-06
CtTt,2.5908724523087555e-05
LcCc,2.622858531966888e-05
LcCl,6.397215931626557e-07
LcCt,8.956102304277178e-06
LcLc,7.93254775521693e-05
LcLl,6.397215931626557e-07
LcLt,6.717076728207885e-06
LcTc,4.478051152138589e-06
LcTl,9.595823897439836e-07
LcTt,5.757494338463901e-06
LlCc,2.558886372650623e-06
LlCl,1.5993039829066392e-06
LlCt,2.558886372650623e-06
LlLc,0.0
LlLl,1.5993039829066392e-06
LlLt,3.1986079658132785e-07
LlTc,1.2794431863253114e-06
LlTl,1.5993039829066392e-06
LlTt,1.2794431863253114e-06
LtCc,3.8383295589759344e-06
LtCl,9.595823897439836e-07
LtCt,5.757494338463901e-06
LtLc,1.3754014252997095e-05
LtLl,6.397215931626557e-07
LtLt,8.220422472140125e-05
LtTc,3.8383295589759344e-06
LtTl,9.595823897439836e-07
LtTt,7.548714799319336e-05
TcCc,1.2794431863253114e-05
TcCl,2.2390255760692946e-06
TcCt,7.0369375247892124e-06
TcLc,4.797911948719917e-06
TcLl,0.0
TcLt,1.2794431863253114e-06
TcTc,3.5824409217108714e-05
TcTl,6.397215931626557e-07
TcTt,2.558886372650623e-06
TlCc,3.1986079658132785e-07
TlCl,0.0
TlCt,1.2794431863253114e-06
TlLc,3.1986079658132785e-07
TlLl,0.0
TlLt,1.2794431863253114e-06
TlTc,9.595823897439836e-07
TlTl,9.595823897439836e-07
TlTt,1.2794431863253114e-06
TtCc,4.158190355557261e-06
TtCl,1.5993039829066392e-06
TtCt,2.558886372650623e-06
TtLc,2.2390255760692946e-06
TtLl,0.0
TtLt,3.8383295589759344e-06
TtTc,2.8787471692319506e-06
TtTl,1.2794431863253114e-06
TtTt,2.1430673370948963e-05
CcCcC,0.00039598766616768383
CcCcL,3.518468762394606e-05
CcCcT,4.062232116582864e-05
CcClC,7.996519914533197e-06
CcClL,6.397215931626557e-07
CcClT,2.2390255760692946e-06
CcCtC,6.237285533335893e-05
CcCtL,6.077355135045229e-06
CcCtT,7.996519914533197e-06
CcLcC,2.1110812574367635e-05
CcLcL,3.8383295589759344e-06
CcLcT,3.8383295589759344e-06
CcLlC,6.397215931626557e-07
CcLlL,0.0
CcLlT,0.0
CcLtC,3.1986079658132784e-06
CcLtL,1.2794431863253114e-06
CcLtT,2.2390255760692946e-06
CcTcC,4.158190355557261e-06
CcTcL,6.397215931626557e-07
CcTcT,9.595823897439834e-06
CcTlC,0.0
CcTlL,0.0
CcTlT,9.595823897439836e-07
CcTtC,8.316380711114523e-06
CcTtL,9.595823897439836e-07
CcTtT,4.478051152138589e-06
ClCcC,3.5184687623946062e-06
ClCcL,1.5993039829066392e-06
ClCcT,9.595823897439836e-07
ClClC,1.0555406287183817e-05
ClClL,9.595823897439836e-07
ClClT,0.0
ClCtC,3.5184687623946062e-06
ClCtL,0.0
ClCtT,9.595823897439836e-07
ClLcC,0.0
ClLcL,0.0
ClLcT,0.0
ClLlC,0.0
ClLlL,9.595823897439836e-07
ClLlT,0.0
ClLtC,3.1986079658132785e-07
ClLtL,0.0
ClLtT,6.397215931626557e-07
ClTcC,3.1986079658132785e-07
ClTcL,0.0
ClTcT,1.2794431863253114e-06
ClTlC,9.595823897439836e-07
ClTlL,0.0
ClTlT,6.397215931626557e-06
ClTtC,6.397215931626557e-07
ClTtL,0.0
ClTtT,9.275963100858506e-06
CtCcC,2.1750534167530294e-05
CtCcL,1.2794431863253114e-06
CtCcT,3.8383295589759344e-06
CtClC,1.2794431863253114e-06
CtClL,3.1986079658132785e-07
CtClT,0.0
CtCtC,2.974705408206349e-05
CtCtL,1.9191647794879672e-06
CtCtT,2.8787471692319506e-06
CtLcC,1.2794431863253114e-06
CtLcL,0.0
CtLcT,3.1986079658132785e-07
CtLlC,0.0
CtLlL,0.0
CtLlT,0.0
CtLtC,6.717076728207885e-06
CtLtL,1.5033457439322407e-05
CtLtT,1.2794431863253114e-06
CtTcC,1.5993039829066392e-06
CtTcL,0.0
CtTcT,1.5993039829066392e-06
CtTlC,6.397215931626557e-07
CtTlL,0.0
CtTlT,3.1986079658132785e-07
CtTtC,3.1986079658132785e-07
CtTtL,0.0
CtTtT,5.117772745301246e-06
LcCcC,5.40564746222444e-05
LcCcL,3.5184687623946062e-06
LcCcT,4.478051152138589e-06
LcClC,6.397215931626557e-07
LcClL,0.0
LcClT,0.0
LcCtC,3.1986079658132784e-06
LcCtL,0.0
LcCtT,9.595823897439836e-07
LcLcC,6.397215931626557e-06
LcLcL,1.2154710270090458e-05
LcLcT,9.275963100858506e-06
LcLlC,0.0
LcLlL,3.1986079658132785e-07
LcLlT,0.0
LcLtC,9.595823897439836e-07
LcLtL,6.717076728207885e-06
LcLtT,1.2794431863253114e-06
LcTcC,1.2794431863253114e-06
LcTcL,0.0
LcTcT,8.316380711114523e-06
LcTlC,0.0
LcTlL,0.0
LcTlT,6.397215931626557e-07
LcTtC,6.397215931626557e-07
LcTtL,3.1986079658132785e-07
LcTtT,1.1195127880346473e-05
LlCcC,3.1986079658132784e-06
LlCcL,0.0
LlCcT,0.0
LlClC,9.275963100858506e-06
LlClL,1.2794431863253114e-06
LlClT,0.0
LlCtC,1.0555406287183817e-05
LlCtL,3.1986079658132785e-07
LlCtT,0.0
LlLcC,3.1986079658132785e-07
LlLcL,3.1986079658132785e-07
LlLcT,0.0
LlLlC,3.1986079658132785e-07
LlLlL,0.0
LlLlT,0.0
LlLtC,0.0
LlLtL,0.0
LlLtT,0.0
LlTcC,0.0
LlTcL,3.1986079658132785e-07
LlTcT,0.0
LlTlC,0.0
LlTlL,0.0
LlTlT,6.397215931626557e-07
LlTtC,3.1986079658132785e-07
LlTtL,0.0
LlTtT,1.1834849473509129e-05
LtCcC,3.5184687623946062e-06
LtCcL,0.0
LtCcT,3.1986079658132785e-07
LtClC,0.0
LtClL,0.0
LtClT,3.1986079658132785e-07
LtCtC,3.1986079658132784e-06
LtCtL,3.1986079658132785e-07
LtCtT,3.1986079658132785e-07
LtLcC,2.8787471692319506e-06
LtLcL,3.1986079658132785e-07
LtLcT,6.397215931626557e-07
LtLlC,3.1986079658132785e-07
LtLlL,0.0
LtLlT,0.0
LtLtC,2.558886372650623e-06
LtLtL,1.2794431863253114e-06
LtLtT,3.1986079658132785e-07
LtTcC,3.1986079658132785e-07
LtTcL,6.397215931626557e-07
LtTcT,6.397215931626557e-07
LtTlC,3.1986079658132785e-07
LtTlL,0.0
LtTlT,3.1986079658132785e-07
LtTtC,2.2390255760692946e-06
LtTtL,1.2794431863253114e-06
LtTtT,1.5993039829066393e-05
TcCcC,1.6952622218810373e-05
TcCcL,1.2794431863253114e-06
TcCcT,1.5993039829066392e-06
TcClC,3.1986079658132785e-07
TcClL,0.0
TcClT,0.0
TcCtC,3.5184687623946062e-06
TcCtL,6.397215931626557e-07
TcCtT,0.0
TcLcC,1.5993039829066392e-06
TcLcL,3.1986079658132785e-07
TcLcT,0.0
TcLlC,3.1986079658132785e-07
TcLlL,0.0
TcLlT,0.0
TcLtC,0.0
TcLtL,0.0
TcLtT,0.0
TcTcC,3.5184687623946062e-06
TcTcL,3.1986079658132785e-07
TcTcT,6.397215931626557e-07
TcTlC,0.0
TcTlL,0.0
TcTlT,0.0
TcTtC,6.397215931626557e-07
TcTtL,3.1986079658132785e-07
TcTtT,3.1986079658132785e-07
TlCcC,1.2794431863253114e-06
TlCcL,3.1986079658132785e-07
TlCcT,0.0
TlClC,0.0
TlClL,0.0
TlClT,0.0
TlCtC,3.1986079658132785e-07
TlCtL,0.0
TlCtT,0.0
TlLcC,0.0
TlLcL,0.0
TlLcT,0.0
TlLlC,0.0
TlLlL,0.0
TlLlT,0.0
TlLtC,0.0
TlLtL,0.0
TlLtT,0.0
TlTcC,3.1986079658132785e-07
TlTcL,0.0
TlTcT,0.0
TlTlC,6.397215931626557e-07
TlTlL,0.0
TlTlT,5.757494338463901e-06
TlTtC,3.1986079658132785e-07
TlTtL,0.0
TlTtT,0.0
TtCcC,2.558886372650623e-06
TtCcL,6.397215931626557e-07
TtCcT,3.1986079658132785e-07
TtClC,0.0
TtClL,0.0
TtClT,3.1986079658132785e-07
TtCtC,2.558886372650623e-06
TtCtL,0.0
TtCtT,6.397215931626557e-07
TtLcC,6.397215931626557e-07
TtLcL,6.397215931626557e-07
TtLcT,0.0
TtLlC,0.0
TtLlL,0.0
TtLlT,0.0
TtLtC,3.1986079658132785e-07
TtLtL,3.1986079658132785e-07
TtLtT,3.1986079658132785e-07
TtTcC,2.558886372650623e-06
TtTcL,0.0
TtTcT,3.1986079658132785e-07
TtTlC,0.0
TtTlL,0.0
TtTlT,6.397215931626557e-07
TtTtC,6.397215931626557e-07
TtTtL,0.0
TtTtT,1.0875267083765147e-05
