,proportion
C,0.4175242538705943
L,0.24242221126222574
T,0.1328844287882358
Cc,0.02420542871067024
Cl,0.0333722136770024
Ct,0.022509816433067514
Lc,0.012014757944249391
Ll,0.014358993872321245
Lt,0.022409712963545655
Tc,0.005481689407033293
Tl,0.003853398176185033
Tt,0.008298343463199536
CcC,0.005044980703739099
CcL,0.0014377433985127903
CcT,0.0014301331932275027
ClC,0.013527432594801938
ClL,0.0049741472545452685
ClT,0.0038826681965130625
CtC,0.005078641227116333
CtL,0.0006670637632757836
CtT,0.0009796675803791345
LcC,0.0011222125793766365
LcL,0.0011005527643338949
LcT,0.0012079737389377619
LlC,0.0016947341769928859
LlL,0.0035967000979082184
LlT,0.0025848354951682516
LtC,0.0008169262673552927
LtL,0.0014673061190440997
LtT,0.0009155662358607508
TcC,0.0002812848953523598
TcL,0.00017708362298457614
TcT,0.0004144634878448923
TlC,0.0007165300976301528
TlL,0.00037963216365453765
TlT,0.0005616916900948788
TtC,0.00020810984453228704
TtL,0.00010800637501042744
TtT,0.0011113826718552656
CcCc,0.0002490878729915278
CcCl,5.561303862325532e-05
CcCt,9.220056403329173e-05
CcLc,0.00012469028659740404
CcLl,1.0244507114810192e-05
CcLt,4.2148829272361924e-05
CcTc,4.6832032524846594e-05
CcTl,1.8147412603378056e-05
CcTt,1.2878808944332812e-05
ClCc,0.0001460574014368653
ClCl,0.00011854358232851793
ClCt,0.00011122607724651064
ClLc,3.3660523377233486e-05
ClLl,0.00016625371546320539
ClLt,0.00019171863314859072
ClTc,3.8929127036278726e-05
ClTl,6.96626483807093e-05
ClTt,5.034443496421009e-05
CtCc,3.7758326223157564e-05
CtCl,1.785471240009776e-05
CtCt,7.493125203975454e-05
CtLc,6.732104675446697e-06
CtLl,6.439404472166406e-06
CtLt,4.244152947564222e-05
CtTc,6.439404472166406e-06
CtTl,6.146704268886115e-06
CtTt,9.337136484641289e-05
LcCc,3.190432215755174e-05
LcCl,6.732104675446697e-06
LcCt,9.65910670824961e-06
LcLc,9.102976322017055e-05
LcLl,4.390503049204368e-06
LcLt,1.1415307927931356e-05
LcTc,0.00011239687805963183
LcTl,3.219702236083203e-06
LcTt,2.1659815042741547e-05
LlCc,1.463501016401456e-05
LlCl,1.3171509147613103e-05
LlCt,1.0244507114810192e-05
LlLc,7.756555386927718e-05
LlLl,0.00014839900306310764
LlLt,6.058894207902027e-05
LlTc,1.1415307927931356e-05
LlTl,5.2100636183891834e-05
LlTt,6.146704268886115e-05
LtCc,8.195605691848153e-06
LtCl,4.390503049204368e-06
LtCt,4.97590345576495e-06
LtLc,8.781006098408736e-06
LtLl,7.610205285287571e-06
LtLt,8.341955793488298e-05
LtTc,2.3416016262423293e-06
LtTl,2.927002032802912e-06
LtTt,2.195251524602184e-05
TcCc,8.488305895128444e-06
TcCl,2.927002032802912e-06
TcCt,5.2686036590452405e-06
TcLc,6.99553485839896e-05
TcLl,2.927002032802912e-06
TcLt,1.0244507114810192e-05
TcTc,4.771013313468747e-05
TcTl,2.6343018295226203e-06
TcTt,2.3416016262423293e-06
TlCc,4.390503049204368e-06
TlCl,8.488305895128444e-06
TlCt,5.854004065605824e-06
TlLc,4.0978028459240765e-06
TlLl,4.6832032524846585e-06
TlLt,9.9518069115299e-06
TlTc,3.219702236083203e-06
TlTl,3.219702236083203e-06
TlTt,1.6683911586976595e-05
TtCc,3.219702236083203e-06
TtCl,2.927002032802912e-06
TtCt,3.8051026426437855e-06
TtLc,2.9270020328029116e-07
TtLl,8.781006098408736e-07
TtLt,2.0489014229620383e-06
TtTc,2.927002032802912e-06
TtTl,4.0978028459240765e-06
TtTt,7.229695021023192e-05
CcCcC,0.00024499007014560373
CcCcL,1.7562012196817472e-05
CcCcT,1.2586108741052522e-05
CcClC,6.439404472166406e-05
CcClL,1.2586108741052522e-05
CcClT,4.6832032524846585e-06
CcCtC,3.0733521344430577e-05
CcCtL,2.3416016262423293e-06
CcCtT,3.5124024393634945e-06
CcLcC,1.785471240009776e-05
CcLcL,2.780651931162766e-05
CcLcT,1.0829907521370773e-05
CcLlC,4.0978028459240765e-06
CcLlL,1.5513110773855433e-05
CcLlT,1.8147412603378056e-05
CcLtC,1.961091361977951e-05
CcLtL,2.3416016262423293e-06
CcLtT,1.1708008131211646e-06
CcTcC,8.781006098408736e-06
CcTcL,1.463501016401456e-06
CcTcT,6.527214533150494e-05
CcTlC,5.854004065605823e-07
CcTlL,5.854004065605823e-07
CcTlT,1.7562012196817473e-06
CcTtC,1.7562012196817473e-06
CcTtL,8.781006098408736e-07
CcTtT,8.781006098408736e-07
ClCcC,5.941814126589911e-05
ClCcL,6.732104675446697e-06
ClCcT,6.439404472166406e-06
ClClC,0.0003284096280804867
ClClL,2.3708716465703586e-05
ClClT,2.8684619921468534e-05
ClCtC,6.99553485839896e-05
ClCtL,6.146704268886115e-06
ClCtT,4.97590345576495e-06
ClLcC,3.424592378379407e-05
ClLcL,3.8051026426437855e-06
ClLcT,4.97590345576495e-06
ClLlC,3.161162195427145e-05
ClLlL,7.171154980367135e-05
ClLlT,1.1122607724651066e-05
ClLtC,6.439404472166406e-06
ClLtL,1.8732813009938634e-05
ClLtT,3.219702236083203e-05
ClTcC,8.488305895128444e-06
ClTcL,1.7562012196817473e-06
