,proportion
C,0.6732110118876691
L,0.1496793283451458
T,0.05915359465548388
Cc,0.03938678101645812
Cl,0.012072688555586467
Ct,0.015222833183678536
Lc,0.00982047270740143
Ll,0.0014615845708942454
Lt,0.004987270458143141
Tc,0.0026618034302874024
Tl,0.001418596789397356
Tt,0.0011496652283528145
CcC,0.010295057815127089
CcL,0.0012493968814255986
CcT,0.000976682395609331
ClC,0.003911544213964975
ClL,0.00025414376420961114
ClT,0.00020015111064951787
CtC,0.006983623030858693
CtL,0.0002513925461938102
CtT,0.0002675559520366407
LcC,0.0010038506735153651
LcL,0.0004350363487485225
LcT,0.0002280071930595023
LlC,9.457311929315706e-05
LlL,8.735117200167961e-05
LlT,0.00012758773548276824
LtC,0.00026480473402083976
LtL,0.0003194851920848833
LtT,0.00013343407376634523
TcC,0.00011967798368734057
TcL,1.753901485073095e-05
TcT,1.8226819354681177e-05
TlC,9.422921704118194e-05
TlL,7.565849543452565e-06
TlT,5.502436031601865e-06
TtC,0.0001303389534985692
TtL,7.565849543452565e-06
TtT,5.0209728788367016e-05
CcCc,0.0006069874747360808
CcCl,2.613657115010886e-05
CcCt,1.6851210346780713e-05
CcLc,0.00013412187827029545
CcLl,1.719511259875583e-06
CcLt,2.0290232866531878e-05
CcTc,0.00016232186293225502
CcTl,1.719511259875583e-06
CcTt,2.407315763825816e-06
ClCc,1.4787796834930012e-05
ClCl,5.502436031601865e-06
ClCt,5.502436031601865e-06
ClLc,2.7512180158009326e-06
ClLl,1.3756090079004663e-06
ClLt,3.4390225197511657e-07
ClTc,1.994633061455676e-05
ClTl,0.0
ClTt,0.0
CtCc,2.304145088233281e-05
CtCl,3.679754096133747e-05
CtCt,2.1665841874432343e-05
CtLc,3.7829247717262825e-06
CtLl,3.4390225197511657e-07
CtLt,1.0317067559253497e-06
CtTc,3.095120267776049e-06
CtTl,3.4390225197511657e-07
CtTt,3.4390225197511657e-07
LcCc,7.153166841082424e-05
LcCl,3.4390225197511657e-07
LcCt,2.407315763825816e-06
LcLc,2.1321939622457225e-05
LcLl,0.0
LcLt,3.4390225197511657e-07
LcTc,1.6851210346780713e-05
LcTl,1.0317067559253497e-06
LcTt,1.2036578819129079e-05
LlCc,1.719511259875583e-06
LlCl,3.4390225197511657e-07
LlCt,3.4390225197511657e-07
LlLc,1.3756090079004663e-06
LlLl,1.5819503590855362e-05
LlLt,1.3756090079004663e-06
LlTc,1.3756090079004663e-06
LlTl,0.0
LlTt,0.0
LtCc,2.407315763825816e-06
LtCl,3.4390225197511657e-07
LtCt,6.878045039502331e-07
LtLc,1.0317067559253497e-06
LtLl,3.4390225197511657e-07
LtLt,3.4390225197511657e-07
LtTc,0.0
LtTl,3.4390225197511657e-07
LtTt,3.4390225197511657e-07
TcCc,5.158533779626748e-06
TcCl,1.3756090079004663e-06
TcCt,6.878045039502331e-07
TcLc,1.2380481071104197e-05
TcLl,0.0
TcLt,6.878045039502331e-07
TcTc,9.629263055303264e-06
TcTl,0.0
TcTt,0.0
TlCc,3.4390225197511657e-07
TlCl,0.0
TlCt,3.4390225197511657e-07
TlLc,3.4390225197511657e-07
TlLl,0.0
TlLt,0.0
TlTc,0.0
TlTl,0.0
TlTt,0.0
TtCc,1.3756090079004663e-06
TtCl,0.0
TtCt,6.878045039502331e-07
TtLc,0.0
TtLl,0.0
TtLt,0.0
TtTc,0.0
TtTl,0.0
TtTt,3.4390225197511657e-07
CcCcC,0.0005502436031601865
CcCcL,3.6453638709362355e-05
CcCcT,2.3729255386283043e-05
CcClC,7.909751795427681e-06
CcClL,1.0317067559253497e-06
CcClT,3.4390225197511657e-07
CcCtC,1.6163405842830477e-05
CcCtL,7.221947291477448e-06
CcCtT,3.4390225197511657e-07
CcLcC,6.534142787527215e-06
CcLcL,6.190240535552098e-06
CcLcT,1.0317067559253497e-06
CcLlC,3.4390225197511657e-07
CcLlL,3.4390225197511657e-07
CcLlT,0.0
CcLtC,6.878045039502331e-07
CcLtL,0.0
CcLtT,3.4390225197511657e-07
CcTcC,1.0317067559253496e-05
CcTcL,2.0634135118506993e-06
CcTcT,4.8146315276516316e-05
CcTlC,1.0317067559253497e-06
CcTlL,0.0
CcTlT,0.0
CcTtC,6.878045039502331e-07
CcTtL,0.0
CcTtT,0.0
ClCcC,1.0317067559253496e-05
ClCcL,6.878045039502331e-07
ClCcT,1.0317067559253497e-06
ClClC,1.9258526110606528e-05
ClClL,1.0317067559253497e-06
ClClT,3.4390225197511657e-07
ClCtC,1.3756090079004663e-06
ClCtL,0.0
ClCtT,0.0
ClLcC,6.878045039502331e-07
ClLcL,0.0
ClLcT,0.0
ClLlC,3.4390225197511657e-07
ClLlL,6.878045039502331e-07
ClLlT,0.0
ClLtC,0.0
ClLtL,0.0
ClLtT,0.0
ClTcC,3.4390225197511657e-07
ClTcL,0.0
ClTcT,0.0
ClTlC,0.0
ClTlL,0.0
ClTlT,0.0
ClTtC,0.0
ClTtL,0.0
ClTtT,0.0
CtCcC,1.513169908690513e-05
CtCcL,1.719511259875583e-06
CtCcT,3.095120267776049e-06
CtClC,1.719511259875583e-06
CtClL,3.4390225197511657e-07
CtClT,6.878045039502331e-07
CtCtC,3.6453638709362355e-05
